Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,40,2953900,4377700
2021-07-26,65,4676600,2511800
2021-07-23,52,3990800,3713100
2021-07-22,72,5400300,2141700
2021-07-21,41,1032100,1501700
2021-07-20,42,1396000,1950600
2021-07-19,37,2434000,4221000
2021-07-16,60,2632700,1735300
2021-07-15,65,1336000,721600
2021-07-14,44,1555200,1983900
2021-07-13,44,1074400,1378700
2021-07-12,47,2865600,3225300
2021-07-09,39,1593800,2497500
2021-07-08,47,2116900,2410400
2021-07-07,45,2768900,3334000
2021-07-06,0,0,0
2021-07-05,50,4773800,4773800
2021-07-02,34,1499400,2880600
2021-07-01,44,1638600,2101200
2021-06-30,31,885700,1935600
2021-06-29,25,779500,2299000
2021-06-28,53,3677200,3254300
