Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,37,216700,371800
2021-07-26,54,400600,342400
2021-07-23,61,452700,289700
2021-07-22,67,546800,270800
2021-07-21,60,439600,292600
2021-07-20,38,408700,662100
2021-07-19,37,309600,533500
2021-07-16,56,949600,714300
2021-07-15,85,543200,92300
2021-07-14,52,132200,122100
2021-07-13,62,470900,292600
2021-07-12,56,453900,359100
2021-07-09,27,222600,606200
2021-07-08,52,454900,415600
2021-07-07,47,395100,451700
2021-07-06,0,0,0
2021-07-05,50,884300,884300
2021-07-02,37,394300,685900
2021-07-01,59,360500,250100
2021-06-30,28,232300,558400
2021-06-29,39,965100,1501600
2021-06-28,66,1050200,543800
