Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,60,460800,304400
2021-07-26,71,646400,267500
2021-07-23,68,548800,256700
2021-07-22,70,646500,276100
2021-07-21,66,639100,336100
2021-07-20,74,815700,293500
2021-07-19,68,710000,335900
2021-07-16,74,789700,271600
2021-07-15,73,726500,275500
2021-07-14,79,1083500,289400
2021-07-13,64,772800,431400
2021-07-12,82,3762900,814400
2021-07-09,63,884900,520300
2021-07-08,61,1137000,716200
2021-07-07,65,1008800,532100
2021-07-06,0,0,0
2021-07-05,50,1512400,1512400
2021-07-02,50,242700,242300
2021-07-01,64,315800,179500
2021-06-30,41,181600,261100
2021-06-29,61,286900,186300
2021-06-28,51,241900,231800
