Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,74,378300,133700
2021-07-26,83,333300,70000
2021-07-23,81,343500,78300
2021-07-22,76,470100,150600
2021-07-21,89,404400,48300
2021-07-20,86,317100,50000
2021-07-19,62,443000,272400
2021-07-16,95,388400,19600
2021-07-15,91,417000,38800
2021-07-14,57,720800,529800
2021-07-13,84,318300,59900
2021-07-12,61,194000,125600
2021-07-09,79,265400,72500
2021-07-08,79,369400,100800
2021-07-07,75,249200,81800
2021-07-06,0,0,0
2021-07-05,50,673200,673200
2021-07-02,73,227800,83800
2021-07-01,82,262900,57300
2021-06-30,67,136000,65600
2021-06-29,68,164200,75800
2021-06-28,75,264900,90300
