Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,34,90600,176100
2021-07-26,65,634700,343000
2021-07-23,47,177200,197900
2021-07-22,42,127000,173900
2021-07-21,46,164000,194500
2021-07-20,39,59800,93400
2021-07-19,47,292200,325000
2021-07-16,56,315400,237600
2021-07-15,61,153400,97800
2021-07-14,50,135700,136200
2021-07-13,51,91800,89000
2021-07-12,38,155400,256700
2021-07-09,40,84000,127500
2021-07-08,44,69200,89700
2021-07-07,44,181500,233200
2021-07-06,0,0,0
2021-07-05,50,294400,294400
2021-07-02,42,83200,114000
2021-07-01,56,238300,185500
2021-06-30,36,115400,203600
2021-06-29,36,66700,117400
2021-06-28,37,163600,280600
