Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,31,208900,455000
2021-07-26,62,309900,189500
2021-07-23,35,156000,284300
2021-07-22,64,584200,328400
2021-07-21,37,146700,250900
2021-07-20,59,286300,197400
2021-07-19,27,162000,440100
2021-07-16,52,165900,151000
2021-07-15,61,268100,173700
2021-07-14,49,328400,341500
2021-07-13,40,213000,315800
2021-07-12,30,257300,612500
2021-07-09,49,270900,286900
2021-07-08,41,133300,195500
2021-07-07,38,464400,747700
2021-07-06,0,0,0
2021-07-05,50,1086600,1086600
2021-07-02,31,580700,1274000
2021-07-01,41,512100,749800
2021-06-30,44,396200,506300
2021-06-29,68,1352300,630800
2021-06-28,59,233800,164400
