Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,52,4965800,4587500
2021-07-26,41,1070300,1528000
2021-07-23,31,1716600,3840800
2021-07-22,63,3676900,2156200
2021-07-21,37,1669700,2842300
2021-07-20,52,2500700,2346400
2021-07-19,33,2244900,4588900
2021-07-16,46,1793100,2105500
2021-07-15,53,2222100,1963600
2021-07-14,36,1265100,2211800
2021-07-13,50,2185900,2199700
2021-07-12,33,3794700,7796000
2021-07-09,41,3215100,4639900
2021-07-08,34,2237300,4320000
2021-07-07,46,3913600,4650700
2021-07-06,0,0,0
2021-07-05,50,7067000,7067000
2021-07-02,31,5480700,12202700
2021-07-01,45,5037000,6063400
2021-06-30,40,5864800,8746900
2021-06-29,57,12648600,9333900
2021-06-28,67,13755100,6702500
