Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,55,1460800,1204100
2021-07-26,39,1515600,2385600
2021-07-23,39,847100,1299800
2021-07-22,56,969100,751100
2021-07-21,38,458900,763000
2021-07-20,55,1200900,995500
2021-07-19,38,1094400,1762900
2021-07-16,45,624900,773800
2021-07-15,57,935000,690500
2021-07-14,36,612400,1067200
2021-07-13,40,886600,1351600
2021-07-12,42,1970300,2744000
2021-07-09,46,1658300,1982800
2021-07-08,46,974300,1129200
2021-07-07,61,1994300,1274800
2021-07-06,0,0,0
2021-07-05,50,2908700,2908700
2021-07-02,46,1471600,1698200
2021-07-01,69,3762000,1677400
2021-06-30,43,938800,1254100
2021-06-29,54,1453600,1245000
2021-06-28,45,882300,1071700
