Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,51,502200,482900
2021-07-26,55,327700,265500
2021-07-23,33,220800,444700
2021-07-22,59,249100,175700
2021-07-21,39,222800,343300
2021-07-20,46,372100,440100
2021-07-19,31,321500,731600
2021-07-16,48,264800,288700
2021-07-15,34,397200,758800
2021-07-14,42,414800,580900
2021-07-13,41,241700,352100
2021-07-12,42,763800,1045400
2021-07-09,61,695000,446500
2021-07-08,47,442400,504800
2021-07-07,77,1412700,433400
2021-07-06,0,0,0
2021-07-05,50,842600,842600
2021-07-02,46,215700,251100
2021-07-01,51,174300,167200
2021-06-30,56,369100,286100
2021-06-29,56,190300,149000
2021-06-28,56,146900,114200
