Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,35,283400,522100
2021-07-26,46,341000,400800
2021-07-23,20,142600,567900
2021-07-22,47,128000,144700
2021-07-21,49,134300,137700
2021-07-20,44,169800,214000
2021-07-19,27,230200,613600
2021-07-16,28,136500,342800
2021-07-15,67,157500,78200
2021-07-14,41,179000,252400
2021-07-13,52,210400,191900
2021-07-12,41,367200,523500
2021-07-09,34,185500,364400
2021-07-08,54,256400,217900
2021-07-07,42,305900,424800
2021-07-06,0,0,0
2021-07-05,50,717200,717200
2021-07-02,52,293600,270100
2021-07-01,63,336700,198400
2021-06-30,56,348000,273500
2021-06-29,63,682100,408500
2021-06-28,34,209900,410100
