Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,46,121100,142800
2021-07-26,36,124900,222600
2021-07-23,39,196200,304200
2021-07-22,40,140600,207300
2021-07-21,24,87300,271700
2021-07-20,53,366300,323200
2021-07-19,63,195600,115800
2021-07-16,35,115900,214500
2021-07-15,35,105600,197900
2021-07-14,49,374600,389700
2021-07-13,25,123100,367800
2021-07-12,17,62300,310600
2021-07-09,23,98800,338700
2021-07-08,48,149300,160200
2021-07-07,73,123800,46500
2021-07-06,0,0,0
2021-07-05,50,300600,300600
2021-07-02,25,69700,210000
2021-07-01,39,65600,103600
2021-06-30,34,51800,101400
2021-06-29,46,100300,117100
2021-06-28,39,43800,67900
