Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,71,215000,89300
2021-07-26,81,199900,46300
2021-07-23,79,167600,44800
2021-07-22,89,279200,34700
2021-07-21,88,257500,35300
2021-07-20,92,288200,23900
2021-07-19,83,177400,36900
2021-07-16,80,179900,45000
2021-07-15,93,204800,16300
2021-07-14,91,178600,16900
2021-07-13,79,192300,52600
2021-07-12,84,189000,34800
2021-07-09,70,187700,78700
2021-07-08,65,150600,81500
2021-07-07,92,195000,17700
2021-07-06,0,0,0
2021-07-05,50,272700,272700
2021-07-02,74,134400,46400
2021-07-01,68,212500,98000
2021-06-30,89,253100,31600
2021-06-29,63,102100,58900
2021-06-28,48,77400,85200
