Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,62,319700,193100
2021-07-26,69,199900,88200
2021-07-23,40,55200,81200
2021-07-22,50,83400,84000
2021-07-21,47,64900,72800
2021-07-20,60,126100,83300
2021-07-19,54,113900,95200
2021-07-16,57,93700,67500
2021-07-15,44,17000,21900
2021-07-14,31,22700,51000
2021-07-13,37,29700,49900
2021-07-12,26,54300,154900
2021-07-09,70,65100,28400
2021-07-08,36,33800,59900
2021-07-07,53,101300,89700
2021-07-06,0,0,0
2021-07-05,95,332600,15700
2021-07-02,72,127200,48600
2021-07-01,57,44600,32800
2021-06-30,56,38000,30200
2021-06-29,35,29900,55600
2021-06-28,43,37900,49700
