Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,55,1489700,1225700
2021-07-26,59,1518200,1052400
2021-07-23,35,612900,1113800
2021-07-22,56,1175300,935400
2021-07-21,60,821400,547700
2021-07-20,52,879800,827700
2021-07-19,25,662000,1959700
2021-07-16,40,718100,1086000
2021-07-15,51,859800,818200
2021-07-14,33,965400,1999700
2021-07-13,21,1145100,4352500
2021-07-12,40,1128000,1706200
2021-07-09,55,1852700,1541700
2021-07-08,57,1989200,1445200
2021-07-07,44,1152500,1446000
2021-07-06,0,0,0
2021-07-05,50,4778900,4778900
2021-07-02,70,3869400,1693400
2021-07-01,47,1344900,1490100
2021-06-30,47,679300,757300
2021-06-29,42,942800,1320200
2021-06-28,53,1558500,1374900
