Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,74,402100,143300
2021-07-26,59,206400,140600
2021-07-23,50,177600,176500
2021-07-22,56,176600,134900
2021-07-21,54,310500,262300
2021-07-20,68,393400,182700
2021-07-19,49,385400,405600
2021-07-16,28,27400,70700
2021-07-15,62,237400,144100
2021-07-14,37,87900,148800
2021-07-13,50,236000,235200
2021-07-12,24,292400,946800
2021-07-09,27,220800,590300
2021-07-08,32,142200,300500
2021-07-07,65,517000,279600
2021-07-06,0,0,0
2021-07-05,50,642100,642100
2021-07-02,51,462400,449500
2021-07-01,66,858300,443000
2021-06-30,20,76400,301900
2021-06-29,34,147100,289500
2021-06-28,36,222200,395200
