Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,71,314500,129900
2021-07-26,44,614200,777200
2021-07-23,44,951800,1214500
2021-07-22,50,370600,375600
2021-07-21,41,221200,321000
2021-07-20,41,358500,515300
2021-07-19,40,821100,1229900
2021-07-16,56,641200,489700
2021-07-15,67,1051900,518200
2021-07-14,44,291700,369200
2021-07-13,61,569300,360200
2021-07-12,40,438100,667500
2021-07-09,49,645300,678500
2021-07-08,55,544600,446200
2021-07-07,48,840100,893900
2021-07-06,0,0,0
2021-07-05,50,277300,277300
2021-07-02,57,148400,106500
2021-07-01,45,170700,208800
2021-06-30,48,140600,154700
2021-06-29,44,201000,258100
2021-06-28,49,123400,126800
