Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,31,170400,379200
2021-07-26,49,456300,481900
2021-07-23,41,523400,755300
2021-07-22,47,865600,966500
2021-07-21,44,405800,517200
2021-07-20,59,602200,416700
2021-07-19,48,511300,557600
2021-07-16,28,192100,500700
2021-07-15,65,282300,153000
2021-07-14,63,523400,305200
2021-07-13,60,267400,178800
2021-07-12,38,442100,722200
2021-07-09,44,300200,384700
2021-07-08,60,676400,447500
2021-07-07,54,1243200,1046700
2021-07-06,0,0,0
2021-07-05,50,653800,653800
2021-07-02,28,137500,334000
2021-07-01,47,254100,285000
2021-06-30,44,239800,305500
2021-06-29,31,100600,219000
2021-06-28,69,291300,133000
