Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,35,645600,1220100
2021-07-26,44,785100,990100
2021-07-23,49,2956700,3109700
2021-07-22,50,1383100,1371500
2021-07-21,51,1026500,1001800
2021-07-20,56,983800,742700
2021-07-19,37,776000,1295700
2021-07-16,44,992800,1240300
2021-07-15,65,1078400,568600
2021-07-14,39,667600,1043600
2021-07-13,43,831000,1123500
2021-07-12,28,1174500,2813800
2021-07-09,34,516300,1020300
2021-07-08,46,576600,668000
2021-07-07,46,1240300,1456300
2021-07-06,0,0,0
2021-07-05,50,2523500,2523500
2021-07-02,25,443700,1366800
2021-07-01,36,483400,863100
2021-06-30,25,389600,1141200
2021-06-29,55,1253000,1019500
2021-06-28,42,782000,1076400
