Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,42,409700,559900
2021-07-26,69,1092200,481400
2021-07-23,39,211500,325500
2021-07-22,66,408600,207800
2021-07-21,40,58800,89600
2021-07-20,57,61900,45600
2021-07-19,45,127600,153400
2021-07-16,55,76800,62500
2021-07-15,57,43200,31300
2021-07-14,34,37100,71300
2021-07-13,50,39800,39400
2021-07-12,38,121400,198300
2021-07-09,15,22400,122800
2021-07-08,43,79200,103100
2021-07-07,40,208200,311100
2021-07-06,0,0,0
2021-07-05,98,253900,5500
2021-07-02,66,136400,71200
2021-07-01,48,219200,233700
2021-06-30,37,86900,150500
2021-06-29,22,43100,151300
2021-06-28,31,66900,151300
