Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,53,5270200,4635800
2021-07-26,48,3616100,3848300
2021-07-23,38,3791800,6263300
2021-07-22,51,4062300,3828000
2021-07-21,50,4119000,4147400
2021-07-20,53,8461200,7653300
2021-07-19,38,7758500,12409300
2021-07-16,39,4610500,7275500
2021-07-15,45,3162100,3889300
2021-07-14,46,11315300,13063000
2021-07-13,60,14881300,9850100
2021-07-12,55,8556100,6896200
2021-07-09,42,15268200,20849100
2021-07-08,47,6298000,7087300
2021-07-07,41,11977900,16910100
2021-07-06,0,0,0
2021-07-05,50,21418100,21418100
2021-07-02,32,4975400,10470800
2021-07-01,41,7410800,10687900
2021-06-30,42,4606100,6285200
2021-06-29,34,6305100,12256800
2021-06-28,35,4190800,7848000
