Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,47,128300,144000
2021-07-26,65,349100,191000
2021-07-23,50,163400,162100
2021-07-22,48,234500,256200
2021-07-21,66,189500,99600
2021-07-20,60,241200,160600
2021-07-19,44,250200,315700
2021-07-16,32,73400,158700
2021-07-15,59,120900,83000
2021-07-14,38,199600,326900
2021-07-13,45,200900,241900
2021-07-12,25,147800,443800
2021-07-09,53,293100,264300
2021-07-08,61,616400,396100
2021-07-07,64,266500,151000
2021-07-06,0,0,0
2021-07-05,50,369000,369000
2021-07-02,61,142100,89300
2021-07-01,55,137200,112300
2021-06-30,70,493400,207100
2021-06-29,51,58900,57100
2021-06-28,50,84300,85600
