Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,41,2145300,3035700
2021-07-26,59,2997200,2098800
2021-07-23,48,2000700,2153100
2021-07-22,59,2547500,1745200
2021-07-21,39,788200,1258800
2021-07-20,56,1943000,1543700
2021-07-19,35,1038100,1909800
2021-07-16,52,1266500,1172500
2021-07-15,61,1122400,731000
2021-07-14,45,1182300,1444000
2021-07-13,55,1602500,1292100
2021-07-12,35,1809800,3412100
2021-07-09,35,1212100,2260200
2021-07-08,37,894000,1543800
2021-07-07,41,1168800,1656700
2021-07-06,0,0,0
2021-07-05,50,6023700,6023700
2021-07-02,35,2809700,5250000
2021-07-01,39,1785300,2827400
2021-06-30,60,2572700,1742800
2021-06-29,45,1344500,1654600
2021-06-28,53,1869100,1642400
