Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,60,760400,514200
2021-07-26,51,254500,246600
2021-07-23,67,878100,430200
2021-07-22,71,1108500,447600
2021-07-21,44,557100,721700
2021-07-20,65,1144400,609400
2021-07-19,46,841700,1007200
2021-07-16,42,524000,715900
2021-07-15,68,545400,259800
2021-07-14,38,386100,641000
2021-07-13,50,737700,748600
2021-07-12,42,1025800,1406700
2021-07-09,39,556800,875900
2021-07-08,45,614700,741800
2021-07-07,43,793800,1065600
2021-07-06,0,0,0
2021-07-05,50,1514800,1514800
2021-07-02,52,1303600,1197700
2021-07-01,57,2113600,1523600
2021-06-30,38,449600,723600
2021-06-29,51,1881300,1829500
2021-06-28,48,1141600,1239000
