Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,55,531100,433900
2021-07-26,40,350200,530800
2021-07-23,46,941700,1117000
2021-07-22,48,495600,546500
2021-07-21,32,242200,517300
2021-07-20,50,686500,677100
2021-07-19,24,444300,1388700
2021-07-16,43,410400,539300
2021-07-15,56,686600,512000
2021-07-14,42,524400,714100
2021-07-13,48,1065800,1139600
2021-07-12,47,831300,926500
2021-07-09,38,839800,1388400
2021-07-08,35,474400,898100
2021-07-07,42,960800,1323100
2021-07-06,0,0,0
2021-07-05,50,2130900,2130900
2021-07-02,54,1497300,1301200
2021-07-01,56,1460100,1107900
2021-06-30,31,530400,1183400
2021-06-29,40,961800,1454300
2021-06-28,45,871500,1053400
