Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,30,328300,755900
2021-07-26,54,1033200,882500
2021-07-23,40,258700,392600
2021-07-22,43,426900,574300
2021-07-21,60,1499500,985400
2021-07-20,27,52400,138700
2021-07-19,48,159600,173400
2021-07-16,56,196300,153500
2021-07-15,60,61900,41600
2021-07-14,21,52400,196500
2021-07-13,28,39300,97400
2021-07-12,30,204000,466600
2021-07-09,42,99200,135500
2021-07-08,34,55900,109500
2021-07-07,42,210300,287600
2021-07-06,0,0,0
2021-07-05,50,296000,296000
2021-07-02,50,189700,192700
2021-07-01,53,346400,310700
2021-06-30,51,116000,111300
2021-06-29,20,54900,219500
2021-06-28,36,77200,136000
