Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,40,1032900,1546000
2021-07-26,63,1863100,1106400
2021-07-23,47,2058900,2283500
2021-07-22,56,1387000,1040000
2021-07-21,36,654300,1161100
2021-07-20,46,1618100,1868900
2021-07-19,40,1876300,2864800
2021-07-16,49,748000,775200
2021-07-15,45,1789600,2219000
2021-07-14,45,2075300,2502000
2021-07-13,42,1356200,1848600
2021-07-12,45,2271100,2742400
2021-07-09,39,1264800,1949300
2021-07-08,43,874900,1164700
2021-07-07,67,3550900,1729400
2021-07-06,0,0,0
2021-07-05,50,2931000,2931000
2021-07-02,33,960600,1920700
2021-07-01,57,2218500,1593900
2021-06-30,43,1008700,1310300
2021-06-29,66,2944300,1505200
2021-06-28,38,728100,1207000
