Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,68,325800,152800
2021-07-26,45,180000,221200
2021-07-23,21,142300,551000
2021-07-22,47,141300,156400
2021-07-21,35,177900,332500
2021-07-20,51,248900,239400
2021-07-19,45,253800,313500
2021-07-16,37,183700,313500
2021-07-15,36,150700,264300
2021-07-14,22,125300,437900
2021-07-13,31,129900,292300
2021-07-12,45,624200,766600
2021-07-09,43,363200,476900
2021-07-08,28,112900,279900
2021-07-07,60,341700,230300
2021-07-06,0,0,0
2021-07-05,50,1101800,1101800
2021-07-02,35,283900,536300
2021-07-01,50,224300,224900
2021-06-30,43,185400,250200
2021-06-29,52,368900,341800
2021-06-28,54,281800,239900
