Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,55,1397800,1129000
2021-07-26,51,490100,464300
2021-07-23,39,548700,876300
2021-07-22,56,876700,671300
2021-07-21,31,337300,759800
2021-07-20,55,1320600,1097800
2021-07-19,41,1273500,1846000
2021-07-16,27,475400,1312700
2021-07-15,51,963800,917200
2021-07-14,44,2970200,3824200
2021-07-13,51,1936200,1848300
2021-07-12,39,1641400,2516300
2021-07-09,40,1330800,2026700
2021-07-08,45,1151800,1391400
2021-07-07,44,3535300,4516700
2021-07-06,0,0,0
2021-07-05,50,5630700,5630700
2021-07-02,34,1343400,2603900
2021-07-01,44,832300,1079200
2021-06-30,43,894100,1185000
2021-06-29,43,740100,999900
2021-06-28,50,1311200,1312900
