Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,44,1833700,2294200
2021-07-26,54,1762900,1529100
2021-07-23,38,2519000,4170500
2021-07-22,71,5708600,2311500
2021-07-21,43,1914600,2487200
2021-07-20,47,4022400,4598300
2021-07-19,41,6258900,9043900
2021-07-16,41,1940500,2821800
2021-07-15,38,1675300,2706000
2021-07-14,44,1563700,2003700
2021-07-13,55,2144000,1783400
2021-07-12,33,3495400,7242200
2021-07-09,48,3479600,3732300
2021-07-08,54,4227900,3549900
2021-07-07,49,4577200,4720500
2021-07-06,0,0,0
2021-07-05,50,9525400,9525400
2021-07-02,38,2121900,3488100
2021-07-01,35,2040400,3856600
2021-06-30,43,1528100,1995000
2021-06-29,30,1480400,3493500
2021-06-28,54,3664500,3148400
