Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,56,484400,381100
2021-07-26,91,853600,83800
2021-07-23,49,129900,135600
2021-07-22,35,142800,260200
2021-07-21,37,211300,365300
2021-07-20,50,205400,206400
2021-07-19,35,102500,186500
2021-07-16,35,57300,105500
2021-07-15,49,170300,180200
2021-07-14,44,78100,97700
2021-07-13,49,147400,151600
2021-07-12,43,428100,575700
2021-07-09,18,62300,287900
2021-07-08,48,98800,107400
2021-07-07,50,223100,226900
2021-07-06,0,0,0
2021-07-05,50,323400,323400
2021-07-02,54,153100,127900
2021-07-01,56,262900,204600
2021-06-30,36,108200,194800
2021-06-29,30,65900,156400
2021-06-28,52,114700,106100
