Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,55,187500,154400
2021-07-26,51,141000,133100
2021-07-23,47,124400,142000
2021-07-22,53,112200,99600
2021-07-21,82,194600,42000
2021-07-20,62,141300,88000
2021-07-19,50,149700,148400
2021-07-16,69,157300,69400
2021-07-15,40,97500,148200
2021-07-14,13,29200,194900
2021-07-13,77,154500,46800
2021-07-12,65,242800,128600
2021-07-09,80,231500,58000
2021-07-08,99,220500,3100
2021-07-07,75,176100,58000
2021-07-06,0,0,0
2021-07-05,0,0,0
2021-07-02,46,142600,166700
2021-07-01,57,135000,95900
2021-06-30,78,165200,45400
2021-06-29,67,208100,102400
2021-06-28,76,283200,87000
