Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,60,127300,84700
2021-07-26,36,29400,52900
2021-07-23,39,59500,92300
2021-07-22,53,175200,157700
2021-07-21,36,39000,70800
2021-07-20,30,24000,56400
2021-07-19,43,80100,105000
2021-07-16,66,104100,54300
2021-07-15,42,71400,99400
2021-07-14,31,40800,89700
2021-07-13,42,94700,128300
2021-07-12,17,31600,150900
2021-07-09,39,37700,58500
2021-07-08,69,155500,71200
2021-07-07,69,151300,68100
2021-07-06,0,0,0
2021-07-05,50,174400,174400
2021-07-02,43,39400,53300
2021-07-01,35,21600,39400
2021-06-30,31,44900,98100
2021-06-29,40,26200,40100
2021-06-28,80,43200,11000
