Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,37,575400,999200
2021-07-26,44,537400,677100
2021-07-23,20,256800,1036400
2021-07-22,46,472600,566000
2021-07-21,38,217300,355500
2021-07-20,56,661100,507400
2021-07-19,40,792200,1197600
2021-07-16,30,211800,488700
2021-07-15,51,653900,635900
2021-07-14,39,557600,878800
2021-07-13,46,325600,375900
2021-07-12,50,1065700,1048500
2021-07-09,48,517400,554800
2021-07-08,52,872700,814300
2021-07-07,51,764400,734700
2021-07-06,0,0,0
2021-07-05,50,1355400,1355400
2021-07-02,70,704400,305500
2021-07-01,49,372600,381500
2021-06-30,66,858000,441700
2021-06-29,57,343400,249600
2021-06-28,64,451500,250700
