Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,46,1906200,2267300
2021-07-26,52,1427600,1299400
2021-07-23,30,1075500,2480800
2021-07-22,56,3576100,2805000
2021-07-21,61,7097400,4576100
2021-07-20,71,6236700,2559500
2021-07-19,53,4050400,3552800
2021-07-16,64,2908800,1670800
2021-07-15,64,2634800,1451800
2021-07-14,51,2511200,2412400
2021-07-13,53,3324100,3005700
2021-07-12,44,3807700,4852900
2021-07-09,45,2449100,3018300
2021-07-08,41,1659000,2394600
2021-07-07,50,6057700,5944400
2021-07-06,0,0,0
2021-07-05,50,5973500,5973500
2021-07-02,34,1349300,2562400
2021-07-01,46,1618400,1906300
2021-06-30,40,1083500,1627100
2021-06-29,40,1728300,2539500
2021-06-28,41,1682000,2428700
