Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,46,2171500,2590000
2021-07-26,56,3095800,2323800
2021-07-23,47,3166800,3596400
2021-07-22,63,2877200,1654900
2021-07-21,33,869000,1737500
2021-07-20,51,2267200,2207900
2021-07-19,28,1586000,3996100
2021-07-16,56,2415600,1805400
2021-07-15,60,1962600,1332100
2021-07-14,44,1690100,2138100
2021-07-13,45,1748000,2164000
2021-07-12,55,4096200,3392800
2021-07-09,33,3273600,6674100
2021-07-08,39,1579700,2421500
2021-07-07,53,3211900,2883800
2021-07-06,0,0,0
2021-07-05,50,4525200,4525200
2021-07-02,41,1674200,2431800
2021-07-01,56,3829300,2938000
2021-06-30,40,1629300,2438100
2021-06-29,39,1880800,2992700
2021-06-28,60,4168400,2812700
