Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,60,21088600,13943800
2021-07-26,42,4556400,6244300
2021-07-23,32,4356600,9194600
2021-07-22,41,11684900,17074100
2021-07-21,38,5155400,8265300
2021-07-20,63,10545100,6078700
2021-07-19,35,15518400,29349400
2021-07-16,23,5039700,16935900
2021-07-15,32,6005900,13057300
2021-07-14,44,21214000,26849900
2021-07-13,57,18040300,13206700
2021-07-12,41,11370900,16053500
2021-07-09,36,15921800,28613800
2021-07-08,45,6679200,8198000
2021-07-07,49,8722100,9202800
2021-07-06,0,0,0
2021-07-05,50,31346200,31346200
2021-07-02,33,5678500,11719900
2021-07-01,41,12633800,18005500
2021-06-30,35,8469500,15861700
2021-06-29,30,7497500,17759200
2021-06-28,31,7449300,16656400
