Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,49,948800,1002800
2021-07-26,54,1258600,1068000
2021-07-23,41,1020800,1494800
2021-07-22,51,1113200,1052700
2021-07-21,38,535700,867500
2021-07-20,57,2308300,1645400
2021-07-19,36,1009000,1800000
2021-07-16,51,1629800,1558700
2021-07-15,55,1937500,1561200
2021-07-14,33,1032200,2106500
2021-07-13,60,2915000,1933100
2021-07-12,30,2075800,4895000
2021-07-09,32,1353400,2822700
2021-07-08,44,1173900,1479500
2021-07-07,52,2081000,1883200
2021-07-06,0,0,0
2021-07-05,50,3726700,3726700
2021-07-02,28,750400,1935000
2021-07-01,47,1709700,1913700
2021-06-30,49,1087600,1137600
2021-06-29,37,1073100,1802100
2021-06-28,54,2108200,1808400
