Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,49,1841400,1908000
2021-07-26,42,1920800,2707500
2021-07-23,34,2107200,4156200
2021-07-22,55,1737300,1409400
2021-07-21,39,1508500,2311700
2021-07-20,49,4405200,4509800
2021-07-19,27,986300,2683000
2021-07-16,38,671000,1073300
2021-07-15,61,950200,603100
2021-07-14,28,556600,1391000
2021-07-13,46,724700,834500
2021-07-12,31,1319700,2897900
2021-07-09,53,1538200,1349000
2021-07-08,36,844300,1491500
2021-07-07,53,1975100,1747200
2021-07-06,0,0,0
2021-07-05,50,4506000,4506000
2021-07-02,59,3125900,2176700
2021-07-01,64,2861600,1610500
2021-06-30,35,807100,1498400
2021-06-29,38,801500,1333600
2021-06-28,43,920800,1231000
