Date,BuyVolRatio,BuyVol,SellVol
2021-07-27,57,1897600,1453100
2021-07-26,65,2010900,1080900
2021-07-23,47,1305500,1493800
2021-07-22,60,1792500,1198300
2021-07-21,46,954900,1115300
2021-07-20,61,2040900,1326600
2021-07-19,43,1194400,1601700
2021-07-16,63,4267300,2479600
2021-07-15,48,1491600,1618900
2021-07-14,52,1195300,1111800
2021-07-13,45,1331000,1614300
2021-07-12,47,1592600,1803600
2021-07-09,48,1262700,1361500
2021-07-08,48,1309900,1435500
2021-07-07,61,2969900,1912700
2021-07-06,0,0,0
2021-07-05,50,3649200,3649200
2021-07-02,50,2702500,2656100
2021-07-01,68,3361200,1605900
2021-06-30,47,1864800,2061100
2021-06-29,54,2444600,2069400
2021-06-28,46,2304900,2728300
