Stock,B,S,G,BB,BS,BG
HPG,1926,4082,-2156,31.0,57.0,-26.0
VPB,465,1316,-851,42.0,37.0,5.0
SHB,458,628,-170,40.0,37.0,3.0
TCB,1610,3143,-1533,23.0,45.0,-22.0
PDR,285,686,-401,6.0,15.0,-9.0
SSI,1049,2438,-1389,9.0,23.0,-14.0
STB,5882,4434,1448,379.0,192.0,187.0
HSG,858,1432,-574,12.0,16.0,-4.0
CTG,1405,2485,-1080,8.0,8.0,0.0
MBB,1263,2072,-809,19.0,21.0,-2.0
NVL,290,744,-454,1.0,5.0,-4.0
FLC,417,801,-384,6.0,11.0,-5.0
MSN,260,998,-738,11.0,18.0,-7.0
VHM,409,925,-516,19.0,24.0,-5.0
VIC,575,1174,-599,31.0,26.0,5.0
KBC,869,1139,-270,21.0,35.0,-14.0
HCM,491,697,-206,3.0,18.0,-15.0
CTR,275,214,61,9.0,6.0,3.0
ACB,636,962,-326,16.0,26.0,-10.0
FPT,1745,2193,-448,78.0,35.0,43.0
PVS,518,607,-89,25.0,21.0,4.0
BSR,1298,613,685,20.0,25.0,-5.0
VND,1005,923,82,26.0,54.0,-28.0
SHS,375,362,13,9.0,8.0,1.0
VCB,324,985,-661,3.0,11.0,-8.0
HDG,334,393,-59,12.0,7.0,5.0
LPB,1028,922,106,11.0,7.0,4.0
IJC,921,749,172,9.0,23.0,-14.0
GVR,1056,877,179,14.0,13.0,1.0
VNM,334,1033,-699,10.0,19.0,-9.0
KDC,105,46,59,33.0,3.0,30.0
NVB,142,236,-94,4.0,19.0,-15.0
MWG,171,1001,-830,4.0,18.0,-14.0
DBC,147,217,-70,3.0,15.0,-12.0
HAH,241,275,-34,1.0,0.0,1.0
AGG,190,85,105,25.0,6.0,19.0
HDB,235,862,-627,9.0,13.0,-4.0
DIG,717,936,-219,14.0,10.0,4.0
FRT,684,472,212,3.0,3.0,0.0
DXG,508,601,-93,2.0,9.0,-7.0
VCI,923,1042,-119,5.0,27.0,-22.0
HDC,159,157,2,2.0,2.0,0.0
TCH,189,607,-418,0.0,4.0,-4.0
VRE,944,1812,-868,2.0,3.0,-1.0
BVH,337,486,-149,1.0,5.0,-4.0
VJC,72,627,-555,1.0,2.0,-1.0
NKG,281,437,-156,6.0,32.0,-26.0
PSH,551,87,464,27.0,1.0,26.0
GMD,465,778,-313,7.0,12.0,-5.0
DGC,2273,637,1636,141.0,46.0,95.0
GEX,272,251,21,4.0,5.0,-1.0
PVD,334,384,-50,1.0,0.0,1.0
TPB,382,1168,-786,24.0,14.0,10.0
POW,971,1190,-219,10.0,11.0,-1.0
SZC,154,257,-103,1.0,2.0,-1.0
VCS,66,73,-7,2.0,3.0,-1.0
BID,317,676,-359,5.0,3.0,2.0
AAA,272,404,-132,1.0,7.0,-6.0
APH,199,111,88,0.0,0.0,0.0
ROS,542,633,-91,0.0,0.0,0.0
SBT,165,516,-351,0.0,1.0,-1.0
PLX,111,578,-467,1.0,2.0,-1.0
KDH,752,1355,-603,12.0,13.0,-1.0
NLG,688,639,49,12.0,4.0,8.0
FIT,236,213,23,7.0,7.0,0.0
TCM,40,73,-33,1.0,0.0,1.0
DRC,505,322,183,9.0,5.0,4.0
PNJ,166,603,-437,1.0,2.0,-1.0
DCM,429,501,-72,3.0,2.0,1.0
CRE,134,69,65,15.0,6.0,9.0
MBS,322,320,2,2.0,2.0,0.0
VIB,197,324,-127,1.0,5.0,-4.0
IDC,206,172,34,14.0,5.0,9.0
DPM,170,193,-23,2.0,5.0,-3.0
PET,188,216,-28,1.0,4.0,-3.0
SCR,762,698,64,11.0,4.0,7.0
ITA,247,485,-238,0.0,0.0,0.0
PVT,341,329,12,0.0,2.0,-2.0
ORS,59,67,-8,0.0,0.0,0.0
BWE,118,106,12,0.0,0.0,0.0
DGW,153,127,26,1.0,2.0,-1.0
TNG,269,222,47,6.0,4.0,2.0
HNG,361,396,-35,0.0,0.0,0.0
