Stock,B,S,G,BB,BS,BG
VPB,1386,1454,-68,101.0,83.0,18.0
HPG,4424,4098,326,84.0,61.0,23.0
SHB,4282,1275,3007,153.0,165.0,-12.0
SSI,2969,2122,847,20.0,12.0,8.0
CTG,4180,3211,969,66.0,49.0,17.0
TCB,5266,4085,1181,64.0,33.0,31.0
STB,3075,2478,597,108.0,92.0,16.0
MBB,4466,3892,574,83.0,45.0,38.0
BSR,2557,1317,1240,92.0,80.0,12.0
PVS,1568,1422,146,84.0,107.0,-23.0
PDR,268,348,-80,51.0,64.0,-13.0
SHS,1265,888,377,27.0,23.0,4.0
VHM,991,1152,-161,40.0,43.0,-3.0
VCI,1032,841,191,26.0,11.0,15.0
HSG,1892,1492,400,52.0,23.0,29.0
LPB,2147,1395,752,75.0,44.0,31.0
FLC,5505,2318,3187,188.0,46.0,142.0
VND,1560,984,576,12.0,15.0,-3.0
HCM,1410,1269,141,7.0,17.0,-10.0
PVD,1907,1338,569,53.0,30.0,23.0
KBC,3893,1700,2193,36.0,12.0,24.0
VCB,573,442,131,12.0,5.0,7.0
ACB,1694,1060,634,36.0,33.0,3.0
VNM,1119,1020,99,12.0,32.0,-20.0
AAA,3556,776,2780,141.0,42.0,99.0
HNG,1083,1467,-384,12.0,13.0,-1.0
DXG,1583,2582,-999,17.0,21.0,-4.0
GVR,2610,1594,1016,64.0,28.0,36.0
PLX,792,700,92,49.0,32.0,17.0
TPB,735,560,175,36.0,25.0,11.0
FPT,905,891,14,26.0,24.0,2.0
DBC,750,575,175,29.0,25.0,4.0
DIG,923,847,76,23.0,17.0,6.0
GAS,923,375,548,24.0,16.0,8.0
BID,1058,732,326,30.0,18.0,12.0
ITA,1998,1493,505,10.0,3.0,7.0
IJC,839,877,-38,6.0,30.0,-24.0
IDC,624,370,254,14.0,24.0,-10.0
VRE,1141,878,263,20.0,36.0,-16.0
PVT,1412,1024,388,16.0,13.0,3.0
TCH,667,697,-30,9.0,7.0,2.0
TSC,648,382,266,4.0,5.0,-1.0
NVB,1067,343,724,39.0,5.0,34.0
VIC,1175,1200,-25,55.0,54.0,1.0
AGG,581,221,360,6.0,33.0,-27.0
HDB,861,671,190,26.0,12.0,14.0
GMD,1241,935,306,38.0,15.0,23.0
HBC,1810,1003,807,11.0,5.0,6.0
FIT,659,714,-55,8.0,26.0,-18.0
KSB,675,396,279,5.0,3.0,2.0
SCR,1242,684,558,28.0,15.0,13.0
PAN,742,322,420,8.0,12.0,-4.0
ROS,4193,2154,2039,14.0,5.0,9.0
SBT,2591,1038,1553,73.0,33.0,40.0
MSN,445,581,-136,16.0,32.0,-16.0
POW,2296,1681,615,22.0,26.0,-4.0
GEX,501,648,-147,10.0,7.0,3.0
DCM,954,491,463,5.0,3.0,2.0
DGC,590,278,312,4.0,1.0,3.0
NVL,377,299,78,33.0,52.0,-19.0
TNG,966,399,567,25.0,12.0,13.0
BVH,751,886,-135,22.0,16.0,6.0
CKG,409,352,57,1.0,5.0,-4.0
KDH,389,424,-35,5.0,5.0,0.0
LCG,737,423,314,1.0,2.0,-1.0
LTG,190,212,-22,1.0,3.0,-2.0
VHC,977,654,323,27.0,12.0,15.0
NLG,594,476,118,11.0,7.0,4.0
MBS,823,464,359,7.0,8.0,-1.0
TTF,668,668,0,0.0,1.0,-1.0
NKG,432,403,29,7.0,11.0,-4.0
HQC,1539,1065,474,6.0,2.0,4.0
DRC,930,590,340,11.0,11.0,0.0
APH,136,110,26,15.0,6.0,9.0
MWG,650,412,238,59.0,20.0,39.0
HUT,119,423,-304,1.0,2.0,-1.0
QNS,266,103,163,2.0,0.0,2.0
VIB,267,299,-32,1.0,1.0,0.0
