Stock,B,S,G,BB,BS,BG
STB,3344,2692,652,162.0,174.0,-12.0
HPG,3684,3519,165,57.0,46.0,11.0
SSI,3274,3163,111,58.0,45.0,13.0
VPB,1875,1388,487,68.0,88.0,-20.0
TCB,2895,2473,422,45.0,56.0,-11.0
VHM,1700,1844,-144,37.0,76.0,-39.0
CTG,2803,3517,-714,15.0,11.0,4.0
HSG,1901,1636,265,51.0,23.0,28.0
FPT,2132,2944,-812,16.0,16.0,0.0
NVL,737,803,-66,6.0,2.0,4.0
FLC,2718,2017,701,84.0,60.0,24.0
TPB,1507,965,542,68.0,7.0,61.0
MBB,2885,2326,559,44.0,37.0,7.0
HCM,1716,1179,537,12.0,12.0,0.0
PDR,746,617,129,117.0,75.0,42.0
VCB,647,1913,-1266,38.0,46.0,-8.0
VND,2849,1463,1386,131.0,87.0,44.0
MSN,983,1125,-142,64.0,23.0,41.0
MWG,1121,1270,-149,14.0,47.0,-33.0
PSH,3426,876,2550,34.0,12.0,22.0
NLG,1697,2460,-763,14.0,18.0,-4.0
VNM,793,1182,-389,18.0,29.0,-11.0
SHB,495,781,-286,32.0,44.0,-12.0
ACB,1814,1095,719,17.0,40.0,-23.0
KDH,999,1775,-776,15.0,30.0,-15.0
FRT,1461,1397,64,12.0,19.0,-7.0
KBC,1173,943,230,30.0,26.0,4.0
GMD,1611,981,630,18.0,19.0,-1.0
HDG,571,894,-323,10.0,58.0,-48.0
DIG,1184,1395,-211,11.0,26.0,-15.0
VCI,915,1033,-118,19.0,16.0,3.0
VRE,1741,1577,164,12.0,10.0,2.0
IJC,1038,971,67,21.0,24.0,-3.0
KDC,334,172,162,79.0,23.0,56.0
NKG,880,720,160,31.0,28.0,3.0
DGC,721,1020,-299,9.0,16.0,-7.0
AAA,1479,1050,429,16.0,11.0,5.0
VIC,685,911,-226,24.0,20.0,4.0
PVS,1260,929,331,48.0,45.0,3.0
AGG,548,281,267,42.0,14.0,28.0
GVR,1148,1226,-78,8.0,9.0,-1.0
BSR,2980,2000,980,89.0,84.0,5.0
POW,1540,1103,437,13.0,14.0,-1.0
HDB,754,770,-16,11.0,25.0,-14.0
VCS,109,131,-22,1.0,7.0,-6.0
SHS,873,799,74,71.0,37.0,34.0
LPB,1102,713,389,17.0,9.0,8.0
GEX,808,498,310,13.0,10.0,3.0
PVD,936,914,22,6.0,5.0,1.0
DCM,964,957,7,11.0,16.0,-5.0
DBC,484,400,84,18.0,15.0,3.0
PNJ,1012,620,392,4.0,5.0,-1.0
DXG,631,627,4,13.0,13.0,0.0
GAS,382,451,-69,10.0,10.0,0.0
NVB,221,709,-488,13.0,16.0,-3.0
MBS,753,618,135,8.0,15.0,-7.0
TCH,690,642,48,0.0,7.0,-7.0
