Stock,B,S,G,BB,BS,BG
HPG,2529,2962.0,-433.0,20.0,49.0,-29.0
VPB,686,1305.0,-619.0,26.0,32.0,-6.0
SHB,338,442.0,-104.0,19.0,34.0,-15.0
TCB,1499,1932.0,-433.0,14.0,31.0,-17.0
PDR,228,169.0,59.0,2.0,10.0,-8.0
SSI,859,1015.0,-156.0,13.0,13.0,0.0
STB,1024,1261.0,-237.0,40.0,50.0,-10.0
HSG,895,1606.0,-711.0,9.0,14.0,-5.0
CTG,1232,1561.0,-329.0,2.0,4.0,-2.0
MBB,1713,2477.0,-764.0,15.0,43.0,-28.0
NVL,219,177.0,42.0,0.0,9.0,-9.0
FLC,566,651.0,-85.0,4.0,8.0,-4.0
MSN,253,312.0,-59.0,6.0,23.0,-17.0
VHM,303,408.0,-105.0,32.0,55.0,-23.0
VIC,456,706.0,-250.0,12.0,21.0,-9.0
KBC,432,448.0,-16.0,7.0,6.0,1.0
HCM,425,697.0,-272.0,3.0,14.0,-11.0
CTR,282,215.0,67.0,4.0,12.0,-8.0
ACB,655,1380.0,-725.0,12.0,26.0,-14.0
FPT,1055,1145.0,-90.0,36.0,20.0,16.0
PVS,285,508.0,-223.0,18.0,19.0,-1.0
BSR,446,565.0,-119.0,14.0,16.0,-2.0
VND,810,639.0,171.0,23.0,23.0,0.0
SHS,402,294.0,108.0,9.0,12.0,-3.0
VCB,426,325.0,101.0,3.0,10.0,-7.0
HDG,475,360.0,115.0,28.0,15.0,13.0
LPB,381,683.0,-302.0,0.0,6.0,-6.0
IJC,500,475.0,25.0,2.0,6.0,-4.0
GVR,540,522.0,18.0,10.0,4.0,6.0
VNM,661,682.0,-21.0,26.0,23.0,3.0
KDC,177,45.0,132.0,34.0,6.0,28.0
NVB,94,243.0,-149.0,3.0,1.0,2.0
MWG,205,558.0,-353.0,5.0,25.0,-20.0
DBC,275,220.0,55.0,12.0,11.0,1.0
HAH,641,425.0,216.0,7.0,2.0,5.0
AGG,100,78.0,22.0,16.0,5.0,11.0
HDB,202,322.0,-120.0,0.0,2.0,-2.0
DIG,553,559.0,-6.0,0.0,5.0,-5.0
FRT,1151,694.0,457.0,21.0,10.0,11.0
DXG,264,283.0,-19.0,3.0,1.0,2.0
VCI,890,911.0,-21.0,6.0,18.0,-12.0
HDC,190,225.0,-35.0,3.0,6.0,-3.0
TCH,294,279.0,15.0,0.0,2.0,-2.0
VRE,853,587.0,266.0,2.0,1.0,1.0
BVH,161,143.0,18.0,0.0,0.0,0.0
VJC,213,44.0,169.0,0.0,0.0,0.0
NKG,343,563.0,-220.0,5.0,34.0,-29.0
PSH,236,138.0,98.0,6.0,1.0,5.0
GMD,1157,692.0,465.0,17.0,2.0,15.0
DGC,1003,612.0,391.0,24.0,10.0,14.0
GEX,88,151.0,-63.0,1.0,4.0,-3.0
PVD,312,334.0,-22.0,2.0,2.0,0.0
TPB,602,415.0,187.0,67.0,14.0,53.0
POW,353,394.0,-41.0,0.0,4.0,-4.0
SZC,230,157.0,73.0,5.0,0.0,5.0
VCS,221,173.0,48.0,24.0,9.0,15.0
BID,290,351.0,-61.0,1.0,3.0,-2.0
AAA,219,319.0,-100.0,1.0,1.0,0.0
APH,238,117.0,121.0,0.0,0.0,0.0
