Stock,B,S,G,BB,BS,BG
HPG,11029,15131,-4102,174.0,284.0,-110.0
TCB,10372,12854,-2482,173.0,246.0,-73.0
MBB,6167,7165,-998,126.0,155.0,-29.0
VPB,2106,1769,337,138.0,114.0,24.0
STB,4464,7587,-3123,217.0,493.0,-276.0
SSI,4407,5243,-836,33.0,105.0,-72.0
CTG,5594,5789,-195,39.0,54.0,-15.0
SHB,2121,3020,-899,85.0,278.0,-193.0
HSG,4087,2443,1644,33.0,51.0,-18.0
NVL,814,1218,-404,12.0,23.0,-11.0
KBC,1739,3137,-1398,7.0,22.0,-15.0
VHM,1897,2335,-438,60.0,107.0,-47.0
FLC,2731,2375,356,37.0,42.0,-5.0
ACB,2963,5155,-2192,10.0,32.0,-22.0
HCM,1688,1950,-262,10.0,24.0,-14.0
PVS,1668,1831,-163,87.0,90.0,-3.0
VND,2788,2429,359,18.0,38.0,-20.0
SHS,1808,1571,237,44.0,68.0,-24.0
VCB,1194,1320,-126,4.0,9.0,-5.0
VIB,554,922,-368,4.0,6.0,-2.0
BSR,2172,2323,-151,49.0,86.0,-37.0
GVR,1702,1191,511,30.0,22.0,8.0
VNM,1462,2135,-673,55.0,49.0,6.0
FPT,2800,3794,-994,37.0,76.0,-39.0
MSN,924,818,106,44.0,23.0,21.0
PDR,602,620,-18,89.0,98.0,-9.0
LPB,1976,2753,-777,54.0,85.0,-31.0
HDG,508,638,-130,4.0,11.0,-7.0
VIC,1134,1196,-62,44.0,49.0,-5.0
DGC,800,1437,-637,26.0,68.0,-42.0
MWG,1005,958,47,59.0,54.0,5.0
TPB,1890,2337,-447,22.0,34.0,-12.0
ROS,2858,1109,1749,1.0,4.0,-3.0
GEX,706,851,-145,21.0,80.0,-59.0
FIT,621,382,239,6.0,18.0,-12.0
BID,1610,1780,-170,21.0,49.0,-28.0
IJC,858,722,136,6.0,36.0,-30.0
NKG,640,605,35,35.0,41.0,-6.0
VCI,965,1137,-172,19.0,67.0,-48.0
DXG,1089,1968,-879,11.0,51.0,-40.0
VRE,1225,2063,-838,2.0,19.0,-17.0
POW,2145,2768,-623,9.0,24.0,-15.0
GMD,1013,1552,-539,14.0,27.0,-13.0
PLX,849,914,-65,5.0,26.0,-21.0
PVD,1372,1487,-115,10.0,17.0,-7.0
HDB,949,1737,-788,8.0,27.0,-19.0
KDH,566,1065,-499,12.0,31.0,-19.0
AAA,1183,1787,-604,10.0,34.0,-24.0
PNJ,834,1031,-197,17.0,26.0,-9.0
MBS,1283,868,415,13.0,26.0,-13.0
FRT,955,888,67,16.0,11.0,5.0
KDC,207,60,147,42.0,2.0,40.0
GAS,587,629,-42,3.0,12.0,-9.0
AGG,421,444,-23,16.0,32.0,-16.0
SCR,914,875,39,8.0,10.0,-2.0
DBC,544,660,-116,36.0,65.0,-29.0
HNG,1928,1735,193,7.0,16.0,-9.0
PVT,1110,1312,-202,3.0,12.0,-9.0
TCH,1690,1307,383,8.0,11.0,-3.0
DIG,803,1108,-305,18.0,13.0,5.0
AAS,771,542,229,3.0,4.0,-1.0
ITA,1578,1245,333,4.0,9.0,-5.0
DGW,225,408,-183,3.0,28.0,-25.0
APH,983,343,640,111.0,5.0,106.0
VJC,532,394,138,14.0,21.0,-7.0
PET,533,598,-65,3.0,14.0,-11.0
NVB,438,1016,-578,14.0,18.0,-4.0
VGT,674,1122,-448,1.0,14.0,-13.0
SBT,791,1082,-291,6.0,32.0,-26.0
NLG,412,720,-308,4.0,15.0,-11.0
TLH,356,544,-188,0.0,0.0,0.0
IDC,431,556,-125,21.0,56.0,-35.0
AGR,694,665,29,2.0,2.0,0.0
DRC,396,716,-320,5.0,9.0,-4.0
ART,439,460,-21,0.0,8.0,-8.0
SBS,733,666,67,5.0,3.0,2.0
VHC,753,662,91,10.0,13.0,-3.0
DCM,837,990,-153,2.0,8.0,-6.0
BVH,859,844,15,4.0,11.0,-7.0
HAH,549,704,-155,3.0,7.0,-4.0
BMI,120,151,-31,0.0,1.0,-1.0
BVS,351,579,-228,7.0,11.0,-4.0
HBC,812,1145,-333,3.0,12.0,-9.0
HDC,308,494,-186,3.0,7.0,-4.0
CTS,536,404,132,1.0,2.0,-1.0
CII,410,447,-37,13.0,7.0,6.0
REE,494,533,-39,12.0,15.0,-3.0
PHR,276,435,-159,3.0,12.0,-9.0
TNG,301,492,-191,1.0,10.0,-9.0
BSI,592,767,-175,8.0,11.0,-3.0
CKG,517,826,-309,0.0,2.0,-2.0
CRE,65,126,-61,10.0,0.0,10.0
VPI,126,50,76,34.0,1.0,33.0
CTD,129,193,-64,5.0,5.0,0.0
ORS,194,529,-335,3.0,2.0,1.0
CTR,283,244,39,5.0,4.0,1.0
NTL,294,554,-260,1.0,3.0,-2.0
VDS,255,211,44,1.0,3.0,-2.0
KLF,596,317,279,1.0,5.0,-4.0
SMC,253,305,-52,2.0,4.0,-2.0
HQC,1263,820,443,1.0,2.0,-1.0
PAN,328,370,-42,2.0,7.0,-5.0
OIL,407,418,-11,1.0,5.0,-4.0
TCM,32,63,-31,1.0,1.0,0.0
TTF,779,759,20,1.0,3.0,-2.0
APS,515,317,198,0.0,6.0,-6.0
PC1,126,234,-108,0.0,1.0,-1.0
DPM,378,532,-154,12.0,15.0,-3.0
MHC,569,241,328,1.0,2.0,-1.0
BII,264,453,-189,4.0,3.0,1.0
VPG,232,294,-62,1.0,7.0,-6.0
SZC,249,464,-215,1.0,5.0,-4.0
LTG,152,247,-95,1.0,5.0,-4.0
KSB,284,494,-210,0.0,1.0,-1.0
NAF,358,78,280,1.0,2.0,-1.0
PTB,69,163,-94,2.0,2.0,0.0
BCG,218,466,-248,1.0,1.0,0.0
HUT,178,441,-263,8.0,19.0,-11.0
LCG,443,494,-51,2.0,3.0,-1.0
VCS,161,226,-65,5.0,9.0,-4.0
TSC,196,412,-216,1.0,4.0,-3.0
CEO,427,530,-103,1.0,4.0,-3.0
LDG,809,744,65,1.0,0.0,1.0
GIL,175,184,-9,8.0,17.0,-9.0
DPG,161,255,-94,3.0,5.0,-2.0
ASM,498,568,-70,1.0,5.0,-4.0
SHI,57,37,20,0.0,0.0,0.0
VEA,232,262,-30,0.0,8.0,-8.0
EIB,176,384,-208,3.0,9.0,-6.0
FTS,259,163,96,1.0,1.0,0.0
ANV,196,207,-11,0.0,3.0,-3.0
HID,282,167,115,0.0,0.0,0.0
HAX,348,236,112,0.0,1.0,-1.0
HHS,693,318,375,2.0,0.0,2.0
HPX,8,15,-7,3.0,3.0,0.0
HVN,350,417,-67,2.0,1.0,1.0
NHH,120,34,86,0.0,0.0,0.0
TVC,94,188,-94,0.0,3.0,-3.0
EVF,115,185,-70,0.0,5.0,-5.0
ACV,105,101,4,1.0,1.0,0.0
APG,413,385,28,0.0,2.0,-2.0
VGI,235,238,-3,1.0,1.0,0.0
VCG,99,38,61,0.0,2.0,-2.0
LHG,165,205,-40,0.0,1.0,-1.0
AMD,596,415,181,0.0,0.0,0.0
NTC,56,59,-3,6.0,11.0,-5.0
PHC,15,28,-13,1.0,0.0,1.0
