Stock,B,S,G,BB,BS,BG
CKG,424.0,628.0,-204.0,0.0,0.0,0.0
CMG,35.0,29.0,6.0,0.0,0.0,0.0
CMX,61.0,85.0,-24.0,0.0,0.0,0.0
CNG,105.0,61.0,44.0,0.0,0.0,0.0
CRC,37.0,51.0,-14.0,0.0,0.0,0.0
CRE,311.0,91.0,220.0,19.0,0.0,19.0
CSM,18.0,24.0,-6.0,0.0,0.0,0.0
CSV,33.0,82.0,-49.0,0.0,0.0,0.0
CTD,149.0,242.0,-93.0,1.0,2.0,-1.0
CTG,2092.0,1985.0,107.0,60.0,63.0,-3.0
CTI,91.0,135.0,-44.0,0.0,0.0,0.0
CTR,182.0,112.0,70.0,4.0,0.0,4.0
CTS,777.0,649.0,128.0,0.0,1.0,-1.0
CVN,64.0,26.0,38.0,0.0,0.0,0.0
D2D,228.0,124.0,104.0,0.0,0.0,0.0
DAG,54.0,122.0,-68.0,0.0,0.0,0.0
DAH,63.0,57.0,6.0,1.0,0.0,1.0
DBC,425.0,693.0,-268.0,14.0,17.0,-3.0
DCL,166.0,143.0,23.0,2.0,3.0,-1.0
DCM,416.0,720.0,-304.0,0.0,1.0,-1.0
DDG,65.0,48.0,17.0,0.0,0.0,0.0
DGC,228.0,340.0,-112.0,0.0,0.0,0.0
DGW,188.0,364.0,-176.0,2.0,0.0,2.0
DHC,209.0,80.0,129.0,9.0,4.0,5.0
DHM,45.0,31.0,14.0,0.0,0.0,0.0
DIG,1743.0,1478.0,265.0,9.0,8.0,1.0
DLG,576.0,753.0,-177.0,0.0,0.0,0.0
DNM,48.0,58.0,-10.0,0.0,0.0,0.0
DPG,107.0,200.0,-93.0,2.0,0.0,2.0
DPM,260.0,247.0,13.0,0.0,1.0,-1.0
DRC,622.0,370.0,252.0,2.0,0.0,2.0
DRH,322.0,260.0,62.0,0.0,0.0,0.0
DRI,214.0,188.0,26.0,0.0,0.0,0.0
DS3,35.0,11.0,24.0,0.0,0.0,0.0
DST,179.0,120.0,59.0,0.0,0.0,0.0
DTD,47.0,46.0,1.0,0.0,0.0,0.0
DVN,418.0,269.0,149.0,0.0,3.0,-3.0
DXG,1414.0,2539.0,-1125.0,19.0,10.0,9.0
DXP,55.0,93.0,-38.0,0.0,0.0,0.0
EIB,321.0,259.0,62.0,1.0,0.0,1.0
ELC,117.0,160.0,-43.0,0.0,0.0,0.0
EVF,150.0,171.0,-21.0,1.0,0.0,1.0
EVG,154.0,57.0,97.0,0.0,0.0,0.0
FCN,304.0,318.0,-14.0,0.0,0.0,0.0
FID,35.0,61.0,-26.0,0.0,0.0,0.0
FIR,43.0,33.0,10.0,0.0,0.0,0.0
FIT,923.0,1363.0,-440.0,4.0,14.0,-10.0
FLC,3542.0,3579.0,-37.0,18.0,15.0,3.0
FMC,302.0,149.0,153.0,0.0,0.0,0.0
FPT,1129.0,5421.0,-4292.0,2.0,14.0,-12.0
FRT,349.0,299.0,50.0,0.0,0.0,0.0
FTM,189.0,201.0,-12.0,0.0,0.0,0.0
FTS,190.0,208.0,-18.0,0.0,0.0,0.0
G36,166.0,186.0,-20.0,0.0,0.0,0.0
GAS,783.0,515.0,268.0,14.0,2.0,12.0
GEG,83.0,372.0,-289.0,0.0,0.0,0.0
GEX,0.0,167.0,-167.0,0.0,11.0,-11.0
GIL,122.0,181.0,-59.0,0.0,1.0,-1.0
GKM,177.0,74.0,103.0,0.0,0.0,0.0
GMD,1132.0,3831.0,-2699.0,5.0,2.0,3.0
GTN,299.0,559.0,-260.0,3.0,0.0,3.0
GVR,2965.0,1103.0,1862.0,9.0,3.0,6.0
HAG,463.0,464.0,-1.0,1.0,0.0,1.0
HAH,225.0,355.0,-130.0,0.0,1.0,-1.0
HAI,501.0,580.0,-79.0,0.0,0.0,0.0
HAP,168.0,78.0,90.0,0.0,0.0,0.0
HAR,129.0,161.0,-32.0,0.0,0.0,0.0
HAX,207.0,179.0,28.0,0.0,0.0,0.0
HBC,1310.0,742.0,568.0,3.0,1.0,2.0
HCD,159.0,168.0,-9.0,0.0,0.0,0.0
HCM,980.0,1429.0,-449.0,7.0,10.0,-3.0
HDA,4.0,0.0,4.0,0.0,0.0,0.0
HDB,1296.0,1694.0,-398.0,23.0,19.0,4.0
HDC,166.0,288.0,-122.0,3.0,0.0,3.0
HDG,417.0,691.0,-274.0,2.0,3.0,-1.0
