Stock,B,S,G,BB,BS,BG
CTG,4466,4535,-69,59.0,87.0,-28.0
MBB,3914,3787,127,54.0,44.0,10.0
HPG,3069,5797,-2728,158.0,230.0,-72.0
TCB,1751,2472,-721,99.0,159.0,-60.0
VPB,1511,1245,266,203.0,118.0,85.0
STB,2841,3722,-881,75.0,136.0,-61.0
LPB,1754,1349,405,29.0,25.0,4.0
ACB,2259,1890,369,75.0,51.0,24.0
AAA,1571,784,787,70.0,83.0,-13.0
NVL,577,715,-138,93.0,84.0,9.0
SSI,1660,1684,-24,52.0,65.0,-13.0
KBC,1888,1824,64,72.0,76.0,-4.0
HSG,1096,2001,-905,31.0,65.0,-34.0
SHB,1903,733,1170,78.0,64.0,14.0
PVS,977,809,168,34.0,61.0,-27.0
FIT,1162,766,396,88.0,16.0,72.0
PDR,404,358,46,119.0,85.0,34.0
FLC,1566,1598,-32,40.0,52.0,-12.0
BSR,1272,1202,70,38.0,77.0,-39.0
HNG,1257,1807,-550,13.0,20.0,-7.0
VNM,1363,1947,-584,26.0,101.0,-75.0
PLX,555,663,-108,18.0,38.0,-20.0
SHS,742,766,-24,22.0,39.0,-17.0
GAS,555,409,146,23.0,20.0,3.0
CTS,981,844,137,6.0,0.0,6.0
HCM,931,955,-24,31.0,29.0,2.0
DIG,944,1205,-261,6.0,13.0,-7.0
VHM,1226,912,314,146.0,99.0,47.0
VIC,540,476,64,54.0,25.0,29.0
VND,694,806,-112,15.0,20.0,-5.0
TPB,662,633,29,12.0,26.0,-14.0
HDB,513,706,-193,12.0,17.0,-5.0
GVR,1482,1237,245,27.0,16.0,11.0
VCI,430,640,-210,10.0,20.0,-10.0
PVD,891,977,-86,27.0,41.0,-14.0
DBC,425,484,-59,29.0,22.0,7.0
KDC,134,124,10,28.0,13.0,15.0
FPT,686,899,-213,17.0,14.0,3.0
DRC,382,596,-214,6.0,9.0,-3.0
POW,1021,1386,-365,12.0,11.0,1.0
IJC,1785,1470,315,51.0,72.0,-21.0
DXG,1550,853,697,33.0,11.0,22.0
NKG,262,576,-314,13.0,26.0,-13.0
IDC,449,624,-175,8.0,30.0,-22.0
AGG,791,159,632,9.0,13.0,-4.0
TCH,816,827,-11,5.0,5.0,0.0
ORS,269,221,48,2.0,2.0,0.0
VGT,612,480,132,6.0,10.0,-4.0
TNG,273,367,-94,12.0,5.0,7.0
BID,508,695,-187,1.0,14.0,-13.0
VPI,83,41,42,16.0,0.0,16.0
MBS,584,409,175,4.0,19.0,-15.0
VJC,303,140,163,1.0,3.0,-2.0
NVB,1058,249,809,19.0,6.0,13.0
APS,451,250,201,4.0,10.0,-6.0
GMD,439,419,20,7.0,8.0,-1.0
