Stock,B,S,G,BB,BS,BG
TCB,2026,3105,-1079,37.0,70.0,-33.0
VPB,1459,781,678,117.0,97.0,20.0
HPG,4262,4592,-330,65.0,41.0,24.0
STB,2111,2202,-91,102.0,130.0,-28.0
SSI,2146,2577,-431,20.0,34.0,-14.0
MBB,2211,2840,-629,39.0,64.0,-25.0
CTG,1884,2371,-487,17.0,12.0,5.0
FLC,1065,1765,-700,12.0,73.0,-61.0
SHB,1201,2336,-1135,137.0,144.0,-7.0
HSG,1682,1838,-156,17.0,18.0,-1.0
VHM,578,821,-243,12.0,21.0,-9.0
VNM,515,657,-142,4.0,2.0,2.0
ACB,1080,1252,-172,2.0,5.0,-3.0
NVL,647,597,50,23.0,25.0,-2.0
NKG,385,421,-36,2.0,0.0,2.0
PVS,945,646,299,29.0,63.0,-34.0
VIC,974,883,91,55.0,41.0,14.0
KBC,1103,1030,73,32.0,40.0,-8.0
SHS,658,667,-9,21.0,34.0,-13.0
MWG,242,582,-340,14.0,29.0,-15.0
VCB,807,1768,-961,2.0,6.0,-4.0
LPB,795,958,-163,14.0,35.0,-21.0
FPT,1194,1059,135,24.0,28.0,-4.0
HDG,743,644,99,25.0,14.0,11.0
HCM,893,1125,-232,19.0,28.0,-9.0
BSR,1288,1036,252,40.0,34.0,6.0
VIB,218,394,-176,0.0,4.0,-4.0
PDR,840,401,439,317.0,168.0,149.0
TPB,447,663,-216,7.0,7.0,0.0
MSN,901,849,52,49.0,27.0,22.0
VND,1037,990,47,20.0,26.0,-6.0
GEX,301,361,-60,3.0,16.0,-13.0
VJC,182,205,-23,7.0,6.0,1.0
DGC,308,333,-25,13.0,15.0,-2.0
VRE,695,792,-97,8.0,4.0,4.0
ROS,1178,1283,-105,1.0,1.0,0.0
IJC,925,672,253,20.0,13.0,7.0
GVR,1299,885,414,12.0,17.0,-5.0
KDC,320,63,257,50.0,11.0,39.0
KDH,561,410,151,1.0,1.0,0.0
AGG,338,130,208,31.0,25.0,6.0
VCI,485,609,-124,8.0,16.0,-8.0
HDB,426,1310,-884,3.0,11.0,-8.0
GMD,631,502,129,2.0,5.0,-3.0
DBC,376,577,-201,16.0,23.0,-7.0
PVD,418,614,-196,11.0,8.0,3.0
FRT,947,628,319,3.0,8.0,-5.0
BID,347,455,-108,3.0,6.0,-3.0
PNJ,280,251,29,6.0,2.0,4.0
TCH,465,460,5,14.0,1.0,13.0
DIG,956,686,270,7.0,5.0,2.0
DXG,735,752,-17,4.0,11.0,-7.0
APH,327,151,176,9.0,2.0,7.0
POW,724,969,-245,4.0,6.0,-2.0
DGW,138,201,-63,0.0,4.0,-4.0
PVT,333,440,-107,4.0,2.0,2.0
IDC,106,173,-67,4.0,6.0,-2.0
PLX,191,576,-385,4.0,7.0,-3.0
NVB,664,338,326,38.0,18.0,20.0
ART,264,269,-5,0.0,3.0,-3.0
GAS,146,206,-60,2.0,0.0,2.0
PET,289,393,-104,3.0,2.0,1.0
FIT,336,251,85,1.0,10.0,-9.0
VPI,159,12,147,5.0,0.0,5.0
SBT,397,478,-81,3.0,3.0,0.0
AAA,592,562,30,6.0,4.0,2.0
PSH,809,307,502,16.0,4.0,12.0
VGT,330,272,58,1.0,3.0,-2.0
HNG,475,575,-100,0.0,1.0,-1.0
MBS,499,397,102,3.0,6.0,-3.0
SCR,423,490,-67,1.0,0.0,1.0
CII,252,198,54,0.0,1.0,-1.0
DCM,396,467,-71,3.0,7.0,-4.0
HBC,306,391,-85,2.0,5.0,-3.0
HAH,1049,544,505,12.0,3.0,9.0
BVH,596,746,-150,5.0,5.0,0.0
VCG,267,13,254,0.0,0.0,0.0
ITA,514,639,-125,0.0,2.0,-2.0
NLG,241,258,-17,5.0,10.0,-5.0
KLF,260,285,-25,1.0,3.0,-2.0
VPG,177,201,-24,0.0,5.0,-5.0
PHR,170,106,64,2.0,1.0,1.0
DCL,36,46,-10,1.0,2.0,-1.0
VCS,196,188,8,18.0,7.0,11.0
REE,111,410,-299,1.0,2.0,-1.0
VHC,242,240,2,0.0,4.0,-4.0
AGR,327,459,-132,0.0,0.0,0.0
AMD,236,293,-57,0.0,1.0,-1.0
SAB,34,15,19,0.0,1.0,-1.0
HDC,406,549,-143,9.0,11.0,-2.0
DRC,381,338,43,6.0,1.0,5.0
BVS,160,216,-56,0.0,3.0,-3.0
QNS,38,61,-23,3.0,1.0,2.0
TNG,281,135,146,4.0,6.0,-2.0
HQC,419,437,-18,0.0,0.0,0.0
ORS,198,137,61,5.0,2.0,3.0
CTS,260,264,-4,0.0,0.0,0.0
TLH,283,410,-127,2.0,1.0,1.0
SMC,156,165,-9,1.0,0.0,1.0
SBS,387,310,77,2.0,6.0,-4.0
BSI,190,193,-3,0.0,2.0,-2.0
BII,167,122,45,1.0,3.0,-2.0
LCG,167,145,22,0.0,0.0,0.0
NTC,48,55,-7,1.0,10.0,-9.0
PAN,136,140,-4,0.0,0.0,0.0
