Stock,B,S,G,BB,BS,BG
CTG,1136,2220,-1084,12.0,42.0,-30.0
MBB,1917,2781,-864,13.0,31.0,-18.0
VPB,1283,1116,167,79.0,71.0,8.0
HPG,2650,3715,-1065,50.0,67.0,-17.0
SSI,1677,2291,-614,14.0,36.0,-22.0
VHM,373,525,-152,14.0,27.0,-13.0
TCB,4622,3145,1477,94.0,62.0,32.0
STB,2331,1927,404,41.0,33.0,8.0
SHB,1589,1002,587,106.0,71.0,35.0
HSG,1145,1163,-18,1.0,1.0,0.0
PDR,194,201,-7,5.0,16.0,-11.0
ACB,1277,1117,160,2.0,4.0,-2.0
PVS,1003,1079,-76,30.0,97.0,-67.0
VCB,379,374,5,2.0,2.0,0.0
VIC,546,637,-91,2.0,8.0,-6.0
NVL,265,373,-108,3.0,19.0,-16.0
KBC,1028,1237,-209,26.0,36.0,-10.0
BSR,838,1176,-338,8.0,59.0,-51.0
HCM,619,1054,-435,10.0,44.0,-34.0
FLC,1060,1715,-655,9.0,32.0,-23.0
AAA,622,663,-41,3.0,8.0,-5.0
SCR,391,531,-140,5.0,13.0,-8.0
MSN,354,398,-44,14.0,33.0,-19.0
VND,1171,954,217,19.0,35.0,-16.0
IJC,331,534,-203,4.0,23.0,-19.0
VRE,804,823,-19,7.0,12.0,-5.0
VNM,394,599,-205,6.0,22.0,-16.0
BID,354,595,-241,6.0,11.0,-5.0
SHS,801,870,-69,16.0,43.0,-27.0
MWG,437,316,121,29.0,27.0,2.0
LPB,696,862,-166,4.0,17.0,-13.0
FPT,754,628,126,17.0,20.0,-3.0
DPM,157,196,-39,2.0,7.0,-5.0
PVD,442,725,-283,6.0,27.0,-21.0
GVR,473,487,-14,8.0,6.0,2.0
PLX,172,298,-126,3.0,11.0,-8.0
HDB,525,568,-43,2.0,8.0,-6.0
VCI,607,633,-26,22.0,25.0,-3.0
NVB,288,393,-105,0.0,3.0,-3.0
TPB,1032,877,155,26.0,17.0,9.0
AGG,54,151,-97,7.0,9.0,-2.0
NKG,231,365,-134,7.0,19.0,-12.0
POW,705,1035,-330,5.0,9.0,-4.0
FIT,616,392,224,13.0,32.0,-19.0
KDC,81,83,-2,32.0,16.0,16.0
DCM,458,703,-245,2.0,4.0,-2.0
DGW,110,88,22,6.0,1.0,5.0
KDH,162,279,-117,1.0,2.0,-1.0
DXG,612,1124,-512,4.0,5.0,-1.0
GAS,203,177,26,9.0,11.0,-2.0
NLG,146,260,-114,1.0,2.0,-1.0
PVT,312,478,-166,2.0,5.0,-3.0
VHC,340,529,-189,0.0,9.0,-9.0
VJC,75,105,-30,0.0,2.0,-2.0
GEX,291,391,-100,6.0,20.0,-14.0
DBC,386,545,-159,13.0,37.0,-24.0
HNG,362,758,-396,3.0,5.0,-2.0
ROS,878,1262,-384,4.0,1.0,3.0
DIG,241,678,-437,4.0,3.0,1.0
MBS,452,601,-149,2.0,10.0,-8.0
TTF,585,538,47,0.0,1.0,-1.0
PNJ,224,160,64,6.0,15.0,-9.0
GMD,457,356,101,16.0,3.0,13.0
HDG,118,231,-113,1.0,2.0,-1.0
HDC,106,225,-119,0.0,1.0,-1.0
TCH,436,727,-291,2.0,5.0,-3.0
IDC,177,246,-69,5.0,16.0,-11.0
ITA,277,600,-323,0.0,2.0,-2.0
VPI,86,27,59,3.0,1.0,2.0
VGT,213,383,-170,2.0,5.0,-3.0
DRC,269,215,54,4.0,4.0,0.0
HBC,280,543,-263,0.0,2.0,-2.0
BVH,157,184,-27,1.0,2.0,-1.0
LDG,312,405,-93,0.0,0.0,0.0
CEO,141,250,-109,1.0,4.0,-3.0
SBT,252,416,-164,1.0,3.0,-2.0
DGC,185,192,-7,0.0,0.0,0.0
KSB,184,186,-2,0.0,0.0,0.0
CTS,221,396,-175,1.0,0.0,1.0
TNG,103,144,-41,3.0,4.0,-1.0
SBS,197,442,-245,0.0,3.0,-3.0
FCN,125,217,-92,0.0,0.0,0.0
TCL,89,124,-35,0.0,0.0,0.0
HQC,216,309,-93,3.0,2.0,1.0
