Stock,B,S,G,BB,BS,BG
VPB,1846,2065,-219,180.0,144.0,36.0
HPG,4351,9038,-4687,91.0,125.0,-34.0
TCB,3524,7239,-3715,29.0,68.0,-39.0
MBB,2592,4896,-2304,30.0,60.0,-30.0
STB,3080,5460,-2380,117.0,226.0,-109.0
SHB,4280,1870,2410,182.0,264.0,-82.0
CTG,3358,5337,-1979,56.0,87.0,-31.0
KBC,1709,2249,-540,10.0,7.0,3.0
SSI,2753,6416,-3663,43.0,72.0,-29.0
SHS,1763,1571,192,46.0,45.0,1.0
ACB,1569,2073,-504,16.0,10.0,6.0
VHM,797,2137,-1340,24.0,60.0,-36.0
PDR,308,439,-131,86.0,101.0,-15.0
LPB,1699,3814,-2115,41.0,88.0,-47.0
HCM,1250,1862,-612,6.0,17.0,-11.0
IDC,631,858,-227,11.0,11.0,0.0
HSG,1387,3048,-1661,11.0,35.0,-24.0
VND,2340,1634,706,12.0,32.0,-20.0
PVS,2487,1667,820,154.0,112.0,42.0
VNM,808,1342,-534,10.0,12.0,-2.0
BSR,2863,2327,536,130.0,90.0,40.0
PLX,1037,804,233,13.0,11.0,2.0
VCI,1096,3012,-1916,24.0,39.0,-15.0
AAA,2205,984,1221,60.0,31.0,29.0
GVR,1731,1770,-39,5.0,2.0,3.0
DGC,723,518,205,11.0,9.0,2.0
DXG,1171,2850,-1679,18.0,47.0,-29.0
IJC,1069,1157,-88,14.0,31.0,-17.0
SCR,757,973,-216,11.0,21.0,-10.0
FLC,1320,1515,-195,58.0,54.0,4.0
KDC,84,56,28,31.0,17.0,14.0
HDB,641,976,-335,10.0,25.0,-15.0
TCH,1327,1308,19,16.0,2.0,14.0
DRC,459,746,-287,7.0,4.0,3.0
VRE,937,1289,-352,23.0,25.0,-2.0
PVD,2143,1960,183,58.0,28.0,30.0
VIC,387,739,-352,19.0,35.0,-16.0
ITA,2884,2380,504,9.0,7.0,2.0
FPT,734,1429,-695,9.0,40.0,-31.0
HNG,2509,1724,785,44.0,38.0,6.0
BID,1139,1384,-245,28.0,26.0,2.0
VCB,1219,851,368,91.0,49.0,42.0
NVL,235,324,-89,17.0,30.0,-13.0
DIG,1324,1497,-173,33.0,41.0,-8.0
BVH,487,867,-380,11.0,17.0,-6.0
VHC,338,474,-136,11.0,16.0,-5.0
AGG,343,535,-192,7.0,43.0,-36.0
PVT,1222,1320,-98,23.0,20.0,3.0
TPB,690,1111,-421,65.0,31.0,34.0
HBC,1557,1302,255,4.0,7.0,-3.0
MSN,318,611,-293,18.0,36.0,-18.0
SZC,335,558,-223,3.0,2.0,1.0
NVB,915,268,647,47.0,19.0,28.0
FIT,696,533,163,20.0,19.0,1.0
GMD,707,908,-201,13.0,20.0,-7.0
TNG,528,380,148,10.0,13.0,-3.0
GEX,376,964,-588,10.0,18.0,-8.0
MBS,671,634,37,7.0,13.0,-6.0
NLG,564,648,-84,9.0,7.0,2.0
DCM,1119,703,416,7.0,9.0,-2.0
POW,1147,1181,-34,7.0,10.0,-3.0
NKG,543,629,-86,4.0,19.0,-15.0
SBT,978,795,183,9.0,9.0,0.0
TSC,946,591,355,16.0,32.0,-16.0
PHR,249,375,-126,9.0,7.0,2.0
VJC,250,179,71,3.0,3.0,0.0
APH,215,150,65,20.0,20.0,0.0
ROS,1802,1452,350,5.0,8.0,-3.0
ANV,317,195,122,7.0,2.0,5.0
VGT,548,337,211,2.0,15.0,-13.0
HDC,343,357,-14,5.0,17.0,-12.0
CRE,123,171,-48,20.0,16.0,4.0
BSI,482,386,96,0.0,2.0,-2.0
KDH,663,506,157,7.0,8.0,-1.0
HAG,577,655,-78,5.0,7.0,-2.0
HAH,400,445,-45,2.0,1.0,1.0
DBC,692,677,15,59.0,36.0,23.0
MWG,225,334,-109,8.0,17.0,-9.0
DPM,328,339,-11,5.0,8.0,-3.0
PSH,178,78,100,3.0,1.0,2.0
FRT,237,505,-268,1.0,2.0,-1.0
D2D,139,158,-19,0.0,4.0,-4.0
CTS,374,594,-220,1.0,3.0,-2.0
HQC,1614,1193,421,2.0,6.0,-4.0
VIB,266,602,-336,5.0,10.0,-5.0
AAS,524,444,80,0.0,2.0,-2.0
KSB,1086,787,299,13.0,6.0,7.0
TVN,140,224,-84,0.0,1.0,-1.0
CII,563,719,-156,2.0,0.0,2.0
PET,415,434,-19,3.0,1.0,2.0
GAS,943,548,395,47.0,18.0,29.0
DCL,153,111,42,17.0,3.0,14.0
PAN,1043,466,577,28.0,6.0,22.0
HDG,182,368,-186,0.0,4.0,-4.0
SAB,102,134,-32,15.0,6.0,9.0
REE,226,378,-152,5.0,1.0,4.0
LCG,1115,582,533,10.0,4.0,6.0
LDG,585,653,-68,1.0,0.0,1.0
HPX,43,29,14,15.0,6.0,9.0
BVS,156,215,-59,0.0,5.0,-5.0
SHI,265,124,141,4.0,2.0,2.0
FTS,254,269,-15,3.0,3.0,0.0
ORS,184,99,85,0.0,5.0,-5.0
APG,351,442,-91,0.0,0.0,0.0
SBS,582,423,159,2.0,4.0,-2.0
BWE,158,178,-20,1.0,2.0,-1.0
PNJ,182,305,-123,1.0,12.0,-11.0
AGR,354,605,-251,1.0,2.0,-1.0
CTR,220,249,-29,5.0,10.0,-5.0
NTC,71,60,11,2.0,3.0,-1.0
BMI,195,203,-8,6.0,7.0,-1.0
ART,345,344,1,3.0,11.0,-8.0
HUT,272,848,-576,8.0,11.0,-3.0
PVM,8,32,-24,0.0,0.0,0.0
OIL,543,439,104,1.0,9.0,-8.0
BII,202,208,-6,0.0,0.0,0.0
PVP,144,195,-51,0.0,0.0,0.0
APS,229,250,-21,1.0,3.0,-2.0
ASM,464,425,39,0.0,0.0,0.0
ELC,149,242,-93,0.0,0.0,0.0
DGW,193,145,48,3.0,3.0,0.0
S99,395,258,137,1.0,2.0,-1.0
HVN,335,517,-182,2.0,3.0,-1.0
CEO,347,315,32,7.0,6.0,1.0
MSR,139,224,-85,1.0,2.0,-1.0
