Stock,B,S,G,BB,BS,BG
CTG,2834.0,2932.0,-98.0,49.0,55.0,-6.0
MBB,3331.0,2140.0,1191.0,25.0,22.0,3.0
VPB,1624.0,1076.0,548.0,142.0,173.0,-31.0
HPG,5951.0,3182.0,2769.0,83.0,81.0,2.0
SSI,1400.0,1590.0,-190.0,54.0,38.0,16.0
VHM,570.0,692.0,-122.0,14.0,13.0,1.0
TCB,2475.0,2816.0,-341.0,33.0,40.0,-7.0
STB,2745.0,3068.0,-323.0,40.0,43.0,-3.0
SHB,1478.0,1465.0,13.0,96.0,57.0,39.0
HSG,2596.0,1404.0,1192.0,16.0,9.0,7.0
PDR,337.0,206.0,131.0,26.0,32.0,-6.0
ACB,2024.0,1443.0,581.0,6.0,2.0,4.0
PVS,977.0,873.0,104.0,57.0,56.0,1.0
VCB,511.0,193.0,318.0,12.0,4.0,8.0
VIC,1260.0,1023.0,237.0,7.0,11.0,-4.0
NVL,449.0,290.0,159.0,24.0,13.0,11.0
KBC,1838.0,2391.0,-553.0,41.0,60.0,-19.0
BSR,802.0,1357.0,-555.0,18.0,33.0,-15.0
HCM,650.0,836.0,-186.0,42.0,31.0,11.0
FLC,2430.0,1441.0,989.0,22.0,10.0,12.0
AAA,719.0,575.0,144.0,5.0,5.0,0.0
SCR,465.0,340.0,125.0,3.0,4.0,-1.0
MSN,742.0,372.0,370.0,19.0,22.0,-3.0
VND,1284.0,1157.0,127.0,30.0,26.0,4.0
IJC,989.0,799.0,190.0,10.0,28.0,-18.0
VRE,1552.0,1401.0,151.0,3.0,7.0,-4.0
VNM,1198.0,992.0,206.0,20.0,19.0,1.0
BID,1790.0,1023.0,767.0,43.0,21.0,22.0
SHS,646.0,695.0,-49.0,37.0,49.0,-12.0
MWG,373.0,295.0,78.0,6.0,25.0,-19.0
LPB,2213.0,1914.0,299.0,21.0,36.0,-15.0
FPT,639.0,674.0,-35.0,8.0,12.0,-4.0
DPM,177.0,196.0,-19.0,5.0,3.0,2.0
PVD,445.0,624.0,-179.0,1.0,11.0,-10.0
GVR,1030.0,845.0,185.0,17.0,15.0,2.0
PLX,350.0,251.0,99.0,6.0,13.0,-7.0
HDB,636.0,620.0,16.0,15.0,10.0,5.0
VCI,645.0,569.0,76.0,19.0,24.0,-5.0
NVB,511.0,367.0,144.0,19.0,6.0,13.0
TPB,947.0,968.0,-21.0,22.0,27.0,-5.0
AGG,248.0,114.0,134.0,15.0,4.0,11.0
NKG,562.0,552.0,10.0,25.0,30.0,-5.0
POW,1319.0,636.0,683.0,4.0,3.0,1.0
FIT,480.0,494.0,-14.0,26.0,30.0,-4.0
KDC,183.0,60.0,123.0,40.0,9.0,31.0
DCM,480.0,423.0,57.0,0.0,0.0,0.0
DGW,120.0,130.0,-10.0,0.0,2.0,-2.0
KDH,656.0,188.0,468.0,5.0,4.0,1.0
DXG,1782.0,2496.0,-714.0,11.0,15.0,-4.0
GAS,691.0,218.0,473.0,4.0,15.0,-11.0
NLG,235.0,380.0,-145.0,2.0,0.0,2.0
PVT,600.0,701.0,-101.0,1.0,4.0,-3.0
VHC,445.0,662.0,-217.0,2.0,9.0,-7.0
VJC,298.0,67.0,231.0,0.0,0.0,0.0
GEX,411.0,405.0,6.0,9.0,10.0,-1.0
DBC,333.0,315.0,18.0,21.0,16.0,5.0
HNG,1282.0,865.0,417.0,13.0,3.0,10.0
ROS,1341.0,932.0,409.0,2.0,0.0,2.0
DIG,563.0,876.0,-313.0,2.0,2.0,0.0
MBS,675.0,475.0,200.0,13.0,7.0,6.0
TTF,420.0,388.0,32.0,0.0,3.0,-3.0
PNJ,548.0,294.0,254.0,23.0,24.0,-1.0
GMD,468.0,362.0,106.0,4.0,3.0,1.0
HDG,175.0,209.0,-34.0,6.0,4.0,2.0
HDC,123.0,94.0,29.0,2.0,3.0,-1.0
TCH,1046.0,1207.0,-161.0,1.0,6.0,-5.0
IDC,473.0,228.0,245.0,6.0,16.0,-10.0
ITA,619.0,744.0,-125.0,3.0,2.0,1.0
VPI,99.0,22.0,77.0,5.0,0.0,5.0
VGT,1065.0,712.0,353.0,18.0,16.0,2.0
DRC,410.0,380.0,30.0,3.0,10.0,-7.0
HBC,361.0,400.0,-39.0,2.0,0.0,2.0
BVH,399.0,845.0,-446.0,9.0,23.0,-14.0
LDG,441.0,449.0,-8.0,0.0,0.0,0.0
CEO,355.0,181.0,174.0,3.0,3.0,0.0
SBT,506.0,396.0,110.0,6.0,6.0,0.0
DGC,279.0,257.0,22.0,12.0,11.0,1.0
KSB,228.0,275.0,-47.0,0.0,1.0,-1.0
CTS,390.0,285.0,105.0,0.0,1.0,-1.0
TNG,296.0,184.0,112.0,4.0,12.0,-8.0
SBS,294.0,255.0,39.0,2.0,1.0,1.0
FCN,156.0,137.0,19.0,0.0,2.0,-2.0
TCL,93.0,74.0,19.0,0.0,1.0,-1.0
HQC,401.0,380.0,21.0,0.0,0.0,0.0
VCS,100.0,94.0,6.0,6.0,7.0,-1.0
CII,142.0,234.0,-92.0,1.0,2.0,-1.0
CRE,112.0,66.0,46.0,13.0,7.0,6.0
CTR,84.0,79.0,5.0,4.0,4.0,0.0
HAH,530.0,440.0,90.0,3.0,4.0,-1.0
TCM,90.0,76.0,14.0,0.0,3.0,-3.0
SMC,157.0,205.0,-48.0,0.0,1.0,-1.0
DLG,384.0,272.0,112.0,0.0,0.0,0.0
PET,645.0,724.0,-79.0,4.0,0.0,4.0
BVS,257.0,201.0,56.0,9.0,1.0,8.0
BSI,466.0,257.0,209.0,1.0,6.0,-5.0
ANV,157.0,194.0,-37.0,0.0,0.0,0.0
HUT,111.0,172.0,-61.0,1.0,1.0,0.0
CKG,275.0,451.0,-176.0,0.0,7.0,-7.0
PHR,211.0,358.0,-147.0,2.0,7.0,-5.0
TSC,182.0,240.0,-58.0,0.0,1.0,-1.0
NAF,233.0,61.0,172.0,0.0,2.0,-2.0
KLF,281.0,176.0,105.0,2.0,0.0,2.0
ORS,267.0,199.0,68.0,2.0,13.0,-11.0
PAN,338.0,219.0,119.0,1.0,11.0,-10.0
OIL,132.0,340.0,-208.0,1.0,5.0,-4.0
SHI,388.0,105.0,283.0,9.0,6.0,3.0
APH,370.0,237.0,133.0,3.0,0.0,3.0
ART,209.0,300.0,-91.0,6.0,4.0,2.0
SZC,217.0,397.0,-180.0,0.0,5.0,-5.0
REE,418.0,224.0,194.0,3.0,1.0,2.0
TLH,403.0,386.0,17.0,0.0,0.0,0.0
APS,304.0,208.0,96.0,1.0,3.0,-2.0
AGR,1066.0,1081.0,-15.0,2.0,0.0,2.0
ACV,51.0,37.0,14.0,0.0,0.0,0.0
VIB,1169.0,847.0,322.0,34.0,45.0,-11.0
VDS,376.0,272.0,104.0,3.0,4.0,-1.0
LAS,163.0,139.0,24.0,0.0,0.0,0.0
DPG,191.0,151.0,40.0,2.0,1.0,1.0
ASM,141.0,253.0,-112.0,0.0,0.0,0.0
TVN,93.0,110.0,-17.0,0.0,1.0,-1.0
HHS,155.0,155.0,0.0,1.0,0.0,1.0
S99,141.0,145.0,-4.0,0.0,0.0,0.0
LTG,96.0,130.0,-34.0,1.0,2.0,-1.0
HAX,288.0,221.0,67.0,0.0,0.0,0.0
GIL,48.0,106.0,-58.0,1.0,1.0,0.0
HPX,26.0,17.0,9.0,11.0,1.0,10.0
