Stock,B,S,G,BB,BS,BG
TCB,6150,9934,-3784,75.0,129.0,-54.0
VPB,1273,1638,-365,80.0,128.0,-48.0
HPG,5786,8396,-2610,81.0,141.0,-60.0
STB,2677,4300,-1623,134.0,283.0,-149.0
SSI,2646,3561,-915,34.0,56.0,-22.0
MBB,3873,5704,-1831,53.0,103.0,-50.0
CTG,3451,4801,-1350,11.0,46.0,-35.0
FLC,2241,3022,-781,27.0,73.0,-46.0
SHB,1193,1895,-702,83.0,151.0,-68.0
HSG,1444,2303,-859,10.0,37.0,-27.0
VHM,1020,1309,-289,13.0,31.0,-18.0
VNM,769,1468,-699,15.0,34.0,-19.0
ACB,1464,2232,-768,8.0,25.0,-17.0
NVL,436,635,-199,44.0,37.0,7.0
NKG,659,995,-336,1.0,18.0,-17.0
PVS,1427,1477,-50,43.0,93.0,-50.0
VIC,659,980,-321,16.0,29.0,-13.0
KBC,976,1500,-524,15.0,84.0,-69.0
SHS,1185,1263,-78,47.0,121.0,-74.0
MWG,1077,944,133,29.0,80.0,-51.0
VCB,894,1273,-379,12.0,39.0,-27.0
LPB,2238,1661,577,29.0,40.0,-11.0
FPT,1626,1756,-130,22.0,37.0,-15.0
HDG,1023,1076,-53,59.0,46.0,13.0
HCM,1219,1807,-588,14.0,55.0,-41.0
BSR,1956,1494,462,26.0,74.0,-48.0
VIB,883,729,154,8.0,8.0,0.0
PDR,433,379,54,59.0,100.0,-41.0
TPB,1117,1488,-371,9.0,24.0,-15.0
MSN,748,954,-206,25.0,17.0,8.0
VND,1367,1772,-405,10.0,68.0,-58.0
GEX,357,652,-295,5.0,25.0,-20.0
VJC,251,172,79,4.0,0.0,4.0
DGC,427,513,-86,7.0,18.0,-11.0
VRE,878,1601,-723,8.0,18.0,-10.0
ROS,2481,1872,609,1.0,4.0,-3.0
IJC,1021,805,216,9.0,16.0,-7.0
GVR,807,1640,-833,10.0,25.0,-15.0
KDC,292,107,185,51.0,13.0,38.0
KDH,2481,1534,947,40.0,45.0,-5.0
AGG,355,360,-5,13.0,26.0,-13.0
VCI,686,1057,-371,7.0,40.0,-33.0
HDB,425,987,-562,7.0,17.0,-10.0
GMD,1578,1144,434,31.0,24.0,7.0
DBC,374,529,-155,8.0,21.0,-13.0
PVD,1539,950,589,27.0,32.0,-5.0
FRT,1247,872,375,11.0,7.0,4.0
BID,724,1084,-360,11.0,12.0,-1.0
PNJ,481,577,-96,1.0,15.0,-14.0
TCH,2516,854,1662,7.0,8.0,-1.0
DIG,807,1644,-837,3.0,13.0,-10.0
DXG,1636,1580,56,29.0,65.0,-36.0
APH,272,193,79,2.0,0.0,2.0
POW,1090,1618,-528,11.0,12.0,-1.0
DGW,247,324,-77,5.0,9.0,-4.0
PVT,743,1060,-317,3.0,7.0,-4.0
IDC,183,324,-141,5.0,25.0,-20.0
PLX,395,488,-93,0.0,6.0,-6.0
NVB,420,389,31,3.0,6.0,-3.0
ART,341,356,-15,1.0,9.0,-8.0
GAS,230,507,-277,4.0,8.0,-4.0
PET,347,588,-241,1.0,8.0,-7.0
FIT,621,620,1,12.0,37.0,-25.0
VPI,84,37,47,31.0,1.0,30.0
SBT,282,488,-206,2.0,6.0,-4.0
AAA,773,1080,-307,2.0,9.0,-7.0
PSH,246,86,160,4.0,0.0,4.0
VGT,585,593,-8,3.0,13.0,-10.0
HNG,1385,1291,94,1.0,16.0,-15.0
MBS,928,696,232,5.0,13.0,-8.0
SCR,546,754,-208,0.0,8.0,-8.0
CII,222,339,-117,0.0,8.0,-8.0
DCM,369,578,-209,5.0,5.0,0.0
HBC,505,693,-188,0.0,3.0,-3.0
HAH,712,613,99,0.0,3.0,-3.0
BVH,386,594,-208,0.0,3.0,-3.0
VCG,162,40,122,0.0,0.0,0.0
ITA,595,920,-325,0.0,5.0,-5.0
NLG,1256,713,543,21.0,15.0,6.0
KLF,667,243,424,1.0,7.0,-6.0
VPG,344,321,23,2.0,1.0,1.0
PHR,172,226,-54,3.0,4.0,-1.0
DCL,31,117,-86,0.0,15.0,-15.0
VCS,273,255,18,8.0,17.0,-9.0
REE,362,261,101,2.0,2.0,0.0
VHC,337,522,-185,3.0,15.0,-12.0
AGR,505,629,-124,0.0,4.0,-4.0
AMD,492,362,130,0.0,0.0,0.0
SAB,58,73,-15,1.0,1.0,0.0
HDC,667,444,223,23.0,11.0,12.0
DRC,980,653,327,25.0,19.0,6.0
BVS,210,387,-177,3.0,2.0,1.0
QNS,48,99,-51,3.0,0.0,3.0
TNG,245,237,8,2.0,1.0,1.0
HQC,974,821,153,1.0,1.0,0.0
ORS,97,174,-77,3.0,0.0,3.0
CTS,259,587,-328,0.0,3.0,-3.0
TLH,268,480,-212,1.0,0.0,1.0
SMC,585,591,-6,12.0,15.0,-3.0
SBS,652,463,189,4.0,4.0,0.0
BSI,595,321,274,0.0,3.0,-3.0
BII,170,199,-29,3.0,2.0,1.0
LCG,228,301,-73,0.0,2.0,-2.0
NTC,44,59,-15,5.0,11.0,-6.0
PAN,238,255,-17,0.0,2.0,-2.0
AAS,330,413,-83,2.0,2.0,0.0
MHC,153,200,-47,0.0,0.0,0.0
HUT,102,284,-182,5.0,7.0,-2.0
CKG,298,313,-15,0.0,2.0,-2.0
ASM,255,365,-110,1.0,1.0,0.0
CRE,88,71,17,6.0,3.0,3.0
APS,340,258,82,0.0,1.0,-1.0
DPM,148,263,-115,2.0,1.0,1.0
PHC,51,85,-34,0.0,0.0,0.0
LHG,268,232,36,0.0,0.0,0.0
VDS,129,324,-195,1.0,2.0,-1.0
KSB,201,228,-27,1.0,2.0,-1.0
GIL,65,78,-13,2.0,4.0,-2.0
SZC,335,347,-12,2.0,2.0,0.0
HID,264,129,135,0.0,0.0,0.0
TTF,468,568,-100,0.0,0.0,0.0
VEA,175,118,57,2.0,5.0,-3.0
BMI,79,209,-130,3.0,1.0,2.0
DLG,586,637,-51,0.0,2.0,-2.0
ANV,97,208,-111,1.0,2.0,-1.0
TCL,162,196,-34,0.0,0.0,0.0
ABS,235,44,191,0.0,0.0,0.0
LDG,434,591,-157,1.0,3.0,-2.0
NDN,123,125,-2,0.0,0.0,0.0
HAI,357,344,13,0.0,0.0,0.0
PAS,87,39,48,1.0,0.0,1.0
SJS,55,94,-39,1.0,2.0,-1.0
HPX,6,5,1,1.0,0.0,1.0
HVH,62,117,-55,0.0,0.0,0.0
CTR,416,211,205,5.0,5.0,0.0
NAF,499,113,386,0.0,2.0,-2.0
NTL,156,247,-91,1.0,2.0,-1.0
SHI,70,59,11,0.0,0.0,0.0
DHC,44,65,-21,4.0,2.0,2.0
LTG,206,188,18,2.0,9.0,-7.0
CEO,229,251,-22,2.0,1.0,1.0
OIL,331,271,60,2.0,1.0,1.0
CTD,222,97,125,5.0,2.0,3.0
HVN,236,448,-212,0.0,0.0,0.0
EIB,265,210,55,0.0,10.0,-10.0
PTB,412,236,176,10.0,5.0,5.0
NHH,125,38,87,0.0,0.0,0.0
ELC,60,51,9,1.0,0.0,1.0
BCG,156,218,-62,0.0,0.0,0.0
FTS,127,218,-91,0.0,0.0,0.0
FCN,129,174,-45,0.0,0.0,0.0
CTI,46,98,-52,0.0,0.0,0.0
TVN,99,153,-54,0.0,0.0,0.0
HAG,210,256,-46,0.0,0.0,0.0
APG,343,329,14,0.0,1.0,-1.0
DPG,157,176,-19,0.0,0.0,0.0
S99,150,185,-35,0.0,1.0,-1.0
MSR,77,146,-69,0.0,0.0,0.0
HAX,274,199,75,0.0,0.0,0.0
HHS,282,316,-34,0.0,0.0,0.0
ACV,109,85,24,0.0,0.0,0.0
VGI,153,107,46,0.0,0.0,0.0
TDM,78,93,-15,1.0,0.0,1.0
EVG,80,63,17,1.0,0.0,1.0
TIG,107,108,-1,0.0,0.0,0.0
D2D,34,82,-48,0.0,0.0,0.0
HII,71,50,21,0.0,0.0,0.0
KOS,69,86,-17,0.0,0.0,0.0
PC1,112,146,-34,0.0,0.0,0.0
FMC,130,93,37,1.0,0.0,1.0
TV2,32,115,-83,0.0,0.0,0.0
TSC,323,303,20,0.0,10.0,-10.0
VTP,201,180,21,1.0,0.0,1.0
FIR,99,47,52,0.0,0.0,0.0
DRH,237,128,109,0.0,0.0,0.0
PPC,45,78,-33,0.0,0.0,0.0
EVF,69,89,-20,0.0,0.0,0.0
TVC,44,66,-22,0.0,0.0,0.0
PVC,273,179,94,0.0,1.0,-1.0
MSH,64,84,-20,0.0,1.0,-1.0
IDJ,76,75,1,0.0,1.0,-1.0
DRI,91,110,-19,0.0,0.0,0.0
BWE,300,192,108,3.0,1.0,2.0
HT1,79,108,-29,0.0,1.0,-1.0
PVP,60,92,-32,0.0,1.0,-1.0
BCC,62,105,-43,0.0,0.0,0.0
LAS,41,118,-77,0.0,0.0,0.0
DVN,310,229,81,1.0,0.0,1.0
MST,58,49,9,0.0,0.0,0.0
GEG,61,89,-28,0.0,0.0,0.0
GTN,65,96,-31,0.0,0.0,0.0
C4G,63,108,-45,0.0,0.0,0.0
NT2,73,112,-39,0.0,0.0,0.0
IDI,151,132,19,0.0,0.0,0.0
MBG,118,85,33,0.0,0.0,0.0
TVB,76,132,-56,0.0,0.0,0.0
G36,52,72,-20,0.0,0.0,0.0
QTP,81,66,15,1.0,2.0,-1.0
TDC,64,79,-15,0.0,0.0,0.0
TCM,90,52,38,10.0,4.0,6.0
LSS,108,178,-70,0.0,0.0,0.0
PLP,59,116,-57,0.0,0.0,0.0
VOC,52,49,3,0.0,0.0,0.0
PLC,33,71,-38,0.0,0.0,0.0
AMV,141,74,67,0.0,1.0,-1.0
TDH,64,108,-44,0.0,0.0,0.0
DAH,83,82,1,0.0,0.0,0.0
VNE,73,77,-4,0.0,0.0,0.0
BFC,41,75,-34,0.0,0.0,0.0
