Stock,B,S,G,BB,BS,BG
CTG,2928.0,2645,283.0,39.0,55.0,-16.0
MBB,3464.0,4597,-1133.0,18.0,44.0,-26.0
HPG,4588.0,7364,-2776.0,213.0,275.0,-62.0
TCB,2444.0,1834,610.0,123.0,94.0,29.0
VPB,985.0,747,238.0,162.0,116.0,46.0
STB,2311.0,2044,267.0,85.0,99.0,-14.0
LPB,933.0,874,59.0,9.0,14.0,-5.0
ACB,1629.0,1369,260.0,60.0,41.0,19.0
AAA,1927.0,1125,802.0,45.0,91.0,-46.0
NVL,755.0,592,163.0,123.0,92.0,31.0
SSI,5984.0,2661,3323.0,389.0,135.0,254.0
KBC,1496.0,1071,425.0,59.0,39.0,20.0
HSG,1607.0,1521,86.0,39.0,40.0,-1.0
SHB,1516.0,1086,430.0,93.0,77.0,16.0
PVS,1040.0,1074,-34.0,73.0,53.0,20.0
FIT,1166.0,936,230.0,24.0,23.0,1.0
PDR,789.0,335,454.0,280.0,132.0,148.0
FLC,1383.0,1888,-505.0,25.0,91.0,-66.0
BSR,1519.0,1610,-91.0,43.0,41.0,2.0
HNG,654.0,1094,-440.0,4.0,11.0,-7.0
VNM,1423.0,743,680.0,41.0,21.0,20.0
PLX,561.0,511,50.0,22.0,11.0,11.0
SHS,2012.0,908,1104.0,103.0,26.0,77.0
GAS,573.0,412,161.0,28.0,26.0,2.0
CTS,747.0,476,271.0,3.0,1.0,2.0
HCM,1940.0,1422,518.0,111.0,52.0,59.0
DIG,584.0,798,-214.0,9.0,21.0,-12.0
VHM,728.0,627,101.0,73.0,110.0,-37.0
VIC,736.0,528,208.0,55.0,44.0,11.0
VND,2379.0,1381,998.0,134.0,47.0,87.0
TPB,593.0,450,143.0,28.0,5.0,23.0
HDB,1277.0,792,485.0,23.0,14.0,9.0
GVR,800.0,835,-35.0,11.0,13.0,-2.0
VCI,920.0,495,425.0,41.0,28.0,13.0
PVD,984.0,997,-13.0,32.0,51.0,-19.0
DBC,656.0,459,197.0,64.0,12.0,52.0
KDC,173.0,85,88.0,62.0,7.0,55.0
FPT,708.0,675,33.0,19.0,12.0,7.0
DRC,262.0,327,-65.0,1.0,6.0,-5.0
POW,896.0,1098,-202.0,8.0,17.0,-9.0
IJC,1120.0,1642,-522.0,26.0,52.0,-26.0
DXG,588.0,802,-214.0,3.0,7.0,-4.0
NKG,759.0,409,350.0,28.0,23.0,5.0
IDC,473.0,651,-178.0,14.0,22.0,-8.0
AGG,550.0,139,411.0,16.0,12.0,4.0
TCH,597.0,758,-161.0,8.0,8.0,0.0
ORS,248.0,139,109.0,0.0,16.0,-16.0
VGT,753.0,688,65.0,6.0,17.0,-11.0
TNG,202.0,314,-112.0,0.0,5.0,-5.0
BID,789.0,735,54.0,12.0,7.0,5.0
VPI,86.0,41,45.0,19.0,0.0,19.0
MBS,1054.0,670,384.0,14.0,9.0,5.0
VJC,247.0,117,130.0,2.0,4.0,-2.0
NVB,593.0,400,193.0,59.0,13.0,46.0
APS,363.0,332,31.0,2.0,1.0,1.0
GMD,413.0,378,35.0,2.0,6.0,-4.0
PVT,794.0,695,99.0,5.0,4.0,1.0
CRE,137.0,109,28.0,19.0,11.0,8.0
NLG,319.0,483,-164.0,6.0,4.0,2.0
VRE,518.0,901,-383.0,7.0,5.0,2.0
DLG,704.0,516,188.0,0.0,0.0,0.0
ROS,1364.0,1332,32.0,0.0,5.0,-5.0
ITA,776.0,849,-73.0,1.0,1.0,0.0
SCR,989.0,507,482.0,21.0,8.0,13.0
EVG,172.0,152,20.0,0.0,0.0,0.0
SBT,734.0,968,-234.0,1.0,18.0,-17.0
GEX,1294.0,1122,172.0,17.0,18.0,-1.0
HQC,678.0,726,-48.0,1.0,3.0,-2.0
SZC,242.0,247,-5.0,0.0,0.0,0.0
VCB,984.0,426,558.0,48.0,17.0,31.0
HBC,556.0,668,-112.0,1.0,1.0,0.0
HAG,337.0,331,6.0,0.0,2.0,-2.0
MWG,254.0,213,41.0,19.0,22.0,-3.0
KDH,465.0,411,54.0,8.0,12.0,-4.0
HDC,497.0,285,212.0,20.0,13.0,7.0
CTR,458.0,332,126.0,8.0,20.0,-12.0
OIL,430.0,394,36.0,4.0,5.0,-1.0
MSN,356.0,424,-68.0,21.0,16.0,5.0
AAS,566.0,439,127.0,1.0,1.0,0.0
NTL,124.0,178,-54.0,0.0,3.0,-3.0
BVH,376.0,402,-26.0,8.0,10.0,-2.0
KSB,309.0,292,17.0,1.0,1.0,0.0
BSI,521.0,349,172.0,15.0,1.0,14.0
DPM,263.0,367,-104.0,8.0,10.0,-2.0
LCG,229.0,303,-74.0,0.0,0.0,0.0
DGC,282.0,295,-13.0,10.0,9.0,1.0
CII,264.0,616,-352.0,1.0,2.0,-1.0
ASM,230.0,391,-161.0,0.0,0.0,0.0
APH,147.0,101,46.0,8.0,2.0,6.0
CTD,122.0,166,-44.0,2.0,1.0,1.0
TCM,126.0,109,17.0,3.0,4.0,-1.0
VHC,784.0,767,17.0,12.0,9.0,3.0
SHI,106.0,50,56.0,6.0,2.0,4.0
SBS,1647.0,736,911.0,11.0,6.0,5.0
MST,79.0,100,-21.0,0.0,1.0,-1.0
VPG,155.0,86,69.0,0.0,2.0,-2.0
CKG,266.0,276,-10.0,1.0,0.0,1.0
SJS,140.0,147,-7.0,3.0,3.0,0.0
PAN,404.0,482,-78.0,4.0,4.0,0.0
PHC,77.0,30,47.0,0.0,0.0,0.0
TTF,0.0,1193,-1193.0,0.0,4.0,-4.0
PHR,171.0,205,-34.0,1.0,7.0,-6.0
HHS,281.0,214,67.0,0.0,0.0,0.0
PNJ,103.0,140,-37.0,0.0,1.0,-1.0
VCS,358.0,255,103.0,34.0,14.0,20.0
HPX,37.0,48,-11.0,9.0,10.0,-1.0
VIB,459.0,525,-66.0,2.0,6.0,-4.0
DCM,607.0,391,216.0,0.0,4.0,-4.0
TSC,270.0,300,-30.0,0.0,0.0,0.0
BWE,51.0,42,9.0,3.0,1.0,2.0
MSR,268.0,257,11.0,0.0,1.0,-1.0
PET,418.0,317,101.0,0.0,1.0,-1.0
FCN,204.0,259,-55.0,1.0,2.0,-1.0
CTI,105.0,96,9.0,0.0,0.0,0.0
KOS,76.0,19,57.0,0.0,0.0,0.0
ANV,135.0,176,-41.0,1.0,1.0,0.0
PSH,446.0,209,237.0,3.0,0.0,3.0
HUT,211.0,185,26.0,2.0,5.0,-3.0
HAH,468.0,412,56.0,3.0,0.0,3.0
BCG,262.0,331,-69.0,0.0,0.0,0.0
NHH,65.0,16,49.0,4.0,0.0,4.0
AGR,1003.0,543,460.0,3.0,0.0,3.0
HVN,199.0,232,-33.0,0.0,0.0,0.0
S99,178.0,240,-62.0,0.0,3.0,-3.0
BVS,523.0,379,144.0,11.0,5.0,6.0
PLC,167.0,167,0.0,0.0,0.0,0.0
REE,228.0,216,12.0,0.0,2.0,-2.0
NTC,47.0,32,15.0,4.0,1.0,3.0
DGW,252.0,93,159.0,5.0,2.0,3.0
LDG,418.0,474,-56.0,0.0,0.0,0.0
VDS,299.0,189,110.0,0.0,1.0,-1.0
APG,564.0,424,140.0,0.0,0.0,0.0
CEO,224.0,458,-234.0,3.0,5.0,-2.0
NAF,260.0,82,178.0,0.0,0.0,0.0
LTG,340.0,325,15.0,4.0,8.0,-4.0
FRT,181.0,186,-5.0,0.0,0.0,0.0
BMI,71.0,94,-23.0,0.0,0.0,0.0
HTN,84.0,68,16.0,0.0,0.0,0.0
FTS,295.0,150,145.0,2.0,3.0,-1.0
DRH,236.0,193,43.0,3.0,0.0,3.0
ART,485.0,381,104.0,18.0,4.0,14.0
QNS,82.0,204,-122.0,8.0,3.0,5.0
ACV,152.0,125,27.0,10.0,1.0,9.0
LAS,137.0,122,15.0,0.0,1.0,-1.0
TVC,191.0,166,25.0,2.0,2.0,0.0
HDG,172.0,211,-39.0,4.0,7.0,-3.0
HII,94.0,74,20.0,0.0,0.0,0.0
AMD,321.0,330,-9.0,0.0,1.0,-1.0
LSS,205.0,167,38.0,0.0,0.0,0.0
KMR,131.0,114,17.0,0.0,0.0,0.0
TLH,308.0,362,-54.0,1.0,0.0,1.0
AMV,94.0,146,-52.0,1.0,1.0,0.0
ELC,183.0,110,73.0,0.0,1.0,-1.0
HT1,106.0,152,-46.0,0.0,1.0,-1.0
NT2,72.0,81,-9.0,1.0,1.0,0.0
NDN,122.0,57,65.0,1.0,0.0,1.0
D2D,82.0,87,-5.0,0.0,1.0,-1.0
TIG,68.0,117,-49.0,0.0,0.0,0.0
G36,105.0,124,-19.0,0.0,1.0,-1.0
BCC,125.0,201,-76.0,0.0,0.0,0.0
DTD,63.0,90,-27.0,0.0,1.0,-1.0
VGI,327.0,360,-33.0,0.0,2.0,-2.0
TVN,147.0,177,-30.0,2.0,3.0,-1.0
PVC,218.0,151,67.0,0.0,0.0,0.0
DHC,73.0,126,-53.0,5.0,18.0,-13.0
NRC,39.0,33,6.0,1.0,1.0,0.0
C4G,140.0,131,9.0,0.0,1.0,-1.0
DRI,125.0,165,-40.0,0.0,0.0,0.0
GEG,105.0,182,-77.0,0.0,0.0,0.0
FMC,78.0,92,-14.0,0.0,0.0,0.0
HAI,333.0,291,42.0,0.0,0.0,0.0
HAX,66.0,107,-41.0,0.0,0.0,0.0
VCG,166.0,45,121.0,0.0,0.0,0.0
PC1,126.0,198,-72.0,0.0,0.0,0.0
SMC,124.0,124,0.0,0.0,0.0,0.0
EIB,99.0,72,27.0,1.0,1.0,0.0
KLF,189.0,246,-57.0,1.0,10.0,-9.0
TDH,83.0,132,-49.0,0.0,0.0,0.0
EVF,56.0,61,-5.0,0.0,1.0,-1.0
TDC,100.0,137,-37.0,0.0,1.0,-1.0
MSH,18.0,35,-17.0,0.0,0.0,0.0
IDI,171.0,195,-24.0,1.0,0.0,1.0
LHG,54.0,75,-21.0,0.0,0.0,0.0
SAB,79.0,47,32.0,6.0,4.0,2.0
AAV,97.0,52,45.0,0.0,0.0,0.0
MHC,78.0,65,13.0,0.0,0.0,0.0
GKM,199.0,64,135.0,0.0,1.0,-1.0
QTP,74.0,123,-49.0,0.0,4.0,-4.0
TVB,241.0,116,125.0,1.0,0.0,1.0
GIL,38.0,89,-51.0,0.0,1.0,-1.0
DPG,101.0,93,8.0,0.0,0.0,0.0
MBG,247.0,136,111.0,0.0,1.0,-1.0
TDM,151.0,70,81.0,0.0,0.0,0.0
HAP,109.0,63,46.0,0.0,0.0,0.0
DVN,119.0,137,-18.0,0.0,1.0,-1.0
BII,200.0,117,83.0,0.0,1.0,-1.0
VTP,139.0,85,54.0,1.0,0.0,1.0
SGP,118.0,41,77.0,1.0,0.0,1.0
PVP,130.0,139,-9.0,0.0,1.0,-1.0
PVM,14.0,11,3.0,1.0,0.0,1.0
IDJ,118.0,324,-206.0,0.0,3.0,-3.0
MPC,63.0,78,-15.0,0.0,0.0,0.0
HVH,103.0,135,-32.0,0.0,0.0,0.0
VHG,58.0,162,-104.0,0.0,0.0,0.0
SIP,4.0,14,-10.0,0.0,0.0,0.0
TCL,112.0,63,49.0,0.0,1.0,-1.0
BMP,23.0,33,-10.0,0.0,1.0,-1.0
TV2,82.0,76,6.0,0.0,0.0,0.0
VGS,88.0,47,41.0,1.0,0.0,1.0
DCL,23.0,47,-24.0,0.0,1.0,-1.0
VEA,118.0,169,-51.0,1.0,0.0,1.0
PVB,77.0,85,-8.0,0.0,0.0,0.0
TAR,102.0,63,39.0,0.0,0.0,0.0
PAS,59.0,52,7.0,0.0,1.0,-1.0
GTN,71.0,112,-41.0,0.0,0.0,0.0
CCL,151.0,166,-15.0,0.0,0.0,0.0
PTB,136.0,34,102.0,0.0,0.0,0.0
VIG,203.0,75,128.0,0.0,2.0,-2.0
KLB,56.0,47,9.0,0.0,1.0,-1.0
VOC,67.0,100,-33.0,0.0,0.0,0.0
BFC,40.0,57,-17.0,0.0,0.0,0.0
KSH,113.0,52,61.0,0.0,0.0,0.0
DST,78.0,102,-24.0,0.0,0.0,0.0
PVI,66.0,30,36.0,0.0,0.0,0.0
