Stock,B,S,G,BB,BS,BG
HPG,4236,5872,-1636,62.0,82.0,-20.0
TCB,6494,8748,-2254,64.0,114.0,-50.0
MBB,4841,4398,443,68.0,83.0,-15.0
VPB,1989,1732,257,97.0,129.0,-32.0
STB,2505,3076,-571,125.0,175.0,-50.0
SSI,2528,2457,71,24.0,35.0,-11.0
CTG,2920,3238,-318,18.0,35.0,-17.0
SHB,876,1509,-633,64.0,70.0,-6.0
HSG,1872,1894,-22,23.0,10.0,13.0
NVL,745,811,-66,6.0,29.0,-23.0
KBC,1014,1292,-278,4.0,20.0,-16.0
VHM,940,1051,-111,10.0,37.0,-27.0
FLC,2567,2597,-30,60.0,115.0,-55.0
ACB,1791,2296,-505,11.0,15.0,-4.0
HCM,948,1105,-157,4.0,10.0,-6.0
PVS,1188,934,254,76.0,71.0,5.0
VND,1055,1151,-96,2.0,6.0,-4.0
SHS,831,735,96,12.0,31.0,-19.0
VCB,951,1343,-392,3.0,12.0,-9.0
VIB,937,1594,-657,3.0,9.0,-6.0
BSR,1394,1112,282,32.0,41.0,-9.0
GVR,815,995,-180,10.0,6.0,4.0
VNM,1432,1562,-130,60.0,65.0,-5.0
FPT,1108,1315,-207,12.0,25.0,-13.0
MSN,680,925,-245,19.0,16.0,3.0
PDR,441,383,58,77.0,73.0,4.0
LPB,1087,1832,-745,18.0,26.0,-8.0
HDG,1151,916,235,27.0,14.0,13.0
VIC,963,925,38,60.0,43.0,17.0
DGC,534,876,-342,4.0,29.0,-25.0
MWG,912,783,129,33.0,67.0,-34.0
TPB,1294,1556,-262,22.0,27.0,-5.0
ROS,2331,1799,532,1.0,11.0,-10.0
GEX,491,598,-107,13.0,32.0,-19.0
FIT,483,247,236,8.0,4.0,4.0
BID,561,750,-189,1.0,5.0,-4.0
IJC,883,830,53,2.0,16.0,-14.0
NKG,1106,955,151,48.0,68.0,-20.0
VCI,416,674,-258,6.0,27.0,-21.0
DXG,471,600,-129,7.0,9.0,-2.0
VRE,960,855,105,12.0,11.0,1.0
POW,923,911,12,4.0,10.0,-6.0
GMD,806,678,128,2.0,7.0,-5.0
PLX,417,416,1,6.0,5.0,1.0
PVD,560,715,-155,8.0,7.0,1.0
HDB,582,760,-178,9.0,8.0,1.0
KDH,745,474,271,26.0,10.0,16.0
AAA,515,653,-138,0.0,4.0,-4.0
PNJ,489,543,-54,0.0,5.0,-5.0
MBS,495,544,-49,0.0,3.0,-3.0
FRT,513,685,-172,2.0,14.0,-12.0
KDC,244,56,188,62.0,4.0,58.0
GAS,271,403,-132,2.0,2.0,0.0
AGG,367,162,205,20.0,23.0,-3.0
SCR,431,514,-83,3.0,5.0,-2.0
DBC,272,375,-103,11.0,27.0,-16.0
HNG,894,840,54,0.0,0.0,0.0
PVT,566,726,-160,5.0,10.0,-5.0
TCH,904,625,279,2.0,4.0,-2.0
DIG,594,714,-120,3.0,4.0,-1.0
AAS,336,347,-11,1.0,0.0,1.0
ITA,964,704,260,0.0,2.0,-2.0
DGW,438,409,29,0.0,7.0,-7.0
APH,359,163,196,11.0,1.0,10.0
VJC,479,377,102,6.0,42.0,-36.0
PET,312,612,-300,2.0,13.0,-11.0
NVB,442,246,196,5.0,4.0,1.0
VGT,643,406,237,6.0,5.0,1.0
SBT,390,527,-137,2.0,12.0,-10.0
NLG,250,327,-77,1.0,9.0,-8.0
TLH,324,476,-152,0.0,0.0,0.0
IDC,167,247,-80,6.0,24.0,-18.0
AGR,357,537,-180,0.0,0.0,0.0
DRC,177,278,-101,0.0,2.0,-2.0
ART,413,461,-48,7.0,5.0,2.0
SBS,378,341,37,2.0,1.0,1.0
VHC,292,231,61,1.0,2.0,-1.0
DCM,568,475,93,3.0,5.0,-2.0
BVH,335,394,-59,1.0,2.0,-1.0
HAH,304,453,-149,1.0,3.0,-2.0
BMI,57,183,-126,0.0,1.0,-1.0
BVS,219,326,-107,1.0,3.0,-2.0
HBC,715,559,156,2.0,0.0,2.0
HDC,197,216,-19,0.0,1.0,-1.0
CTS,293,409,-116,0.0,0.0,0.0
CII,317,327,-10,2.0,3.0,-1.0
REE,95,505,-410,1.0,5.0,-4.0
PHR,175,224,-49,1.0,4.0,-3.0
TNG,192,146,46,2.0,4.0,-2.0
BSI,220,229,-9,0.0,3.0,-3.0
CKG,240,274,-34,0.0,0.0,0.0
CRE,82,86,-4,3.0,2.0,1.0
VPI,213,50,163,31.0,2.0,29.0
CTD,77,114,-37,1.0,0.0,1.0
ORS,123,154,-31,8.0,3.0,5.0
CTR,89,78,11,2.0,1.0,1.0
NTL,128,229,-101,0.0,1.0,-1.0
VDS,142,228,-86,2.0,0.0,2.0
KLF,620,356,264,2.0,7.0,-5.0
SMC,149,244,-95,0.0,2.0,-2.0
HQC,682,649,33,0.0,1.0,-1.0
PAN,329,176,153,1.0,1.0,0.0
OIL,158,182,-24,0.0,2.0,-2.0
TCM,23,28,-5,0.0,0.0,0.0
TTF,419,443,-24,0.0,0.0,0.0
APS,268,204,64,1.0,1.0,0.0
PC1,80,75,5,0.0,0.0,0.0
DPM,175,183,-8,2.0,1.0,1.0
MHC,543,138,405,1.0,1.0,0.0
BII,321,151,170,2.0,2.0,0.0
VPG,342,176,166,0.0,0.0,0.0
SZC,137,151,-14,0.0,4.0,-4.0
LTG,145,129,16,0.0,2.0,-2.0
KSB,168,221,-53,0.0,0.0,0.0
NAF,241,49,192,0.0,1.0,-1.0
PTB,53,111,-58,0.0,0.0,0.0
BCG,158,160,-2,1.0,0.0,1.0
HUT,126,134,-8,0.0,5.0,-5.0
LCG,442,287,155,1.0,0.0,1.0
VCS,125,94,31,3.0,6.0,-3.0
TSC,122,170,-48,0.0,0.0,0.0
CEO,201,186,15,0.0,2.0,-2.0
LDG,361,315,46,0.0,0.0,0.0
GIL,95,124,-29,0.0,4.0,-4.0
DPG,103,155,-52,0.0,0.0,0.0
ASM,238,304,-66,0.0,1.0,-1.0
SHI,117,75,42,1.0,0.0,1.0
VEA,93,70,23,1.0,3.0,-2.0
EIB,93,139,-46,1.0,2.0,-1.0
FTS,110,193,-83,0.0,1.0,-1.0
ANV,171,154,17,0.0,1.0,-1.0
HID,440,228,212,1.0,0.0,1.0
HAX,128,255,-127,0.0,1.0,-1.0
HHS,159,186,-27,0.0,1.0,-1.0
HPX,22,15,7,6.0,2.0,4.0
HVN,178,172,6,0.0,0.0,0.0
NHH,111,23,88,0.0,0.0,0.0
TVC,34,45,-11,0.0,0.0,0.0
EVF,86,98,-12,0.0,1.0,-1.0
ACV,57,79,-22,0.0,0.0,0.0
APG,197,179,18,0.0,0.0,0.0
VGI,85,92,-7,0.0,0.0,0.0
VCG,175,50,125,1.0,2.0,-1.0
LHG,157,161,-4,0.0,0.0,0.0
AMD,562,574,-12,0.0,0.0,0.0
NTC,33,31,2,4.0,8.0,-4.0
PHC,119,50,69,0.0,0.0,0.0
QNS,76,75,1,10.0,2.0,8.0
LAS,54,71,-17,0.0,0.0,0.0
BWE,76,75,1,0.0,0.0,0.0
MSR,79,93,-14,0.0,0.0,0.0
TVB,56,87,-31,0.0,0.0,0.0
FCN,105,170,-65,0.0,0.0,0.0
DLG,569,469,100,0.0,0.0,0.0
TCL,186,192,-6,0.0,1.0,-1.0
CTI,56,47,9,1.0,1.0,0.0
SAB,96,93,3,2.0,1.0,1.0
IDI,110,114,-4,0.0,0.0,0.0
HAG,127,252,-125,0.0,0.0,0.0
TVN,190,75,115,0.0,0.0,0.0
EVG,118,82,36,0.0,0.0,0.0
SJS,150,68,82,0.0,0.0,0.0
S99,115,136,-21,0.0,1.0,-1.0
DHC,49,80,-31,1.0,5.0,-4.0
DRH,147,89,58,0.0,0.0,0.0
D2D,36,129,-93,1.0,1.0,0.0
NDN,179,143,36,1.0,1.0,0.0
HAI,475,367,108,0.0,0.0,0.0
FMC,60,84,-24,0.0,0.0,0.0
VTP,71,76,-5,0.0,0.0,0.0
HII,84,103,-19,0.0,0.0,0.0
PVC,103,100,3,0.0,0.0,0.0
PLP,40,68,-28,0.0,0.0,0.0
MSH,40,60,-20,0.0,1.0,-1.0
MST,67,42,25,0.0,0.0,0.0
FIR,76,74,2,0.0,0.0,0.0
KOS,24,91,-67,0.0,0.0,0.0
DCL,165,71,94,2.0,5.0,-3.0
NT2,67,53,14,0.0,0.0,0.0
HT1,53,91,-38,0.0,0.0,0.0
VOC,15,20,-5,0.0,0.0,0.0
GTN,68,61,7,0.0,0.0,0.0
TDC,51,82,-31,0.0,0.0,0.0
TDM,39,87,-48,0.0,2.0,-2.0
QTP,26,27,-1,0.0,0.0,0.0
IDJ,63,51,12,0.0,0.0,0.0
ELC,109,83,26,3.0,0.0,3.0
PSH,427,115,312,6.0,7.0,-1.0
MBG,62,71,-9,0.0,0.0,0.0
PAS,54,47,7,0.0,5.0,-5.0
PPC,57,87,-30,0.0,0.0,0.0
BCC,94,67,27,0.0,0.0,0.0
HVH,449,112,337,0.0,0.0,0.0
DVN,43,56,-13,0.0,0.0,0.0
TV2,61,78,-17,0.0,0.0,0.0
AMV,71,68,3,0.0,0.0,0.0
PVP,80,80,0,0.0,0.0,0.0
GEG,50,85,-35,0.0,0.0,0.0
LSS,77,99,-22,0.0,0.0,0.0
C4G,60,69,-9,0.0,0.0,0.0
PLC,25,52,-27,0.0,0.0,0.0
VNE,24,64,-40,0.0,0.0,0.0
BFC,25,32,-7,0.0,0.0,0.0
TIG,72,79,-7,0.0,0.0,0.0
G36,92,60,32,0.0,0.0,0.0
BMP,114,15,99,0.0,0.0,0.0
DRI,81,75,6,0.0,0.0,0.0
SGP,50,56,-6,0.0,0.0,0.0
TDH,87,101,-14,0.0,0.0,0.0
HTN,36,70,-34,0.0,0.0,0.0
DAH,92,91,1,0.0,0.0,0.0
HAP,224,59,165,0.0,0.0,0.0
VNA,10,31,-21,0.0,0.0,0.0
