Stock,B,S,G,BB,BS,BG
HPG,3791,3303,488,56.0,20.0,36.0
VPB,860,1055,-195,17.0,10.0,7.0
SHB,510,491,19,35.0,28.0,7.0
TCB,2527,2223,304,59.0,27.0,32.0
PDR,766,326,440,12.0,16.0,-4.0
SSI,2304,1184,1120,21.0,19.0,2.0
STB,1558,1100,458,69.0,60.0,9.0
HSG,1870,1027,843,48.0,13.0,35.0
CTG,2264,2219,45,25.0,8.0,17.0
MBB,2090,1555,535,34.0,20.0,14.0
NVL,489,536,-47,11.0,2.0,9.0
FLC,1818,2000,-182,38.0,65.0,-27.0
MSN,437,411,26,10.0,13.0,-3.0
VHM,850,744,106,106.0,54.0,52.0
VIC,1042,815,227,45.0,21.0,24.0
KBC,1893,909,984,55.0,41.0,14.0
HCM,903,483,420,15.0,11.0,4.0
CTR,339,184,155,8.0,12.0,-4.0
ACB,1424,1172,252,57.0,16.0,41.0
FPT,2275,1711,564,61.0,27.0,34.0
PVS,1182,559,623,63.0,29.0,34.0
BSR,1174,807,367,27.0,25.0,2.0
VND,1173,1162,11,52.0,23.0,29.0
SHS,747,448,299,38.0,11.0,27.0
VCB,509,546,-37,16.0,18.0,-2.0
HDG,683,370,313,40.0,12.0,28.0
LPB,702,901,-199,9.0,13.0,-4.0
IJC,1330,895,435,41.0,20.0,21.0
GVR,1231,667,564,10.0,5.0,5.0
VNM,1080,597,483,19.0,11.0,8.0
KDC,291,151,140,55.0,33.0,22.0
NVB,185,164,21,2.0,0.0,2.0
MWG,466,506,-40,23.0,21.0,2.0
DBC,295,248,47,10.0,9.0,1.0
HAH,561,519,42,5.0,2.0,3.0
AGG,442,86,356,24.0,14.0,10.0
HDB,324,661,-337,16.0,4.0,12.0
DIG,1390,927,463,20.0,3.0,17.0
FRT,1206,838,368,9.0,11.0,-2.0
DXG,1004,552,452,9.0,8.0,1.0
VCI,905,509,396,8.0,10.0,-2.0
HDC,317,197,120,5.0,4.0,1.0
TCH,758,351,407,5.0,12.0,-7.0
VRE,1527,529,998,6.0,1.0,5.0
BVH,398,189,209,0.0,0.0,0.0
VJC,309,72,237,1.0,0.0,1.0
NKG,444,645,-201,11.0,19.0,-8.0
PSH,833,354,479,5.0,2.0,3.0
GMD,562,880,-318,2.0,9.0,-7.0
DGC,1128,576,552,42.0,12.0,30.0
GEX,359,298,61,5.0,7.0,-2.0
PVD,634,393,241,6.0,6.0,0.0
TPB,709,775,-66,52.0,14.0,38.0
POW,1055,521,534,13.0,13.0,0.0
SZC,569,362,207,15.0,2.0,13.0
VCS,66,115,-49,7.0,4.0,3.0
BID,476,348,128,4.0,6.0,-2.0
