Stock,B,S,G,BB,BS,BG
CTG,834,1231,-397,17.0,10.0,7.0
MBB,906,1226,-320,5.0,7.0,-2.0
HPG,996,1603,-607,46.0,100.0,-54.0
TCB,894,868,26,58.0,47.0,11.0
VPB,551,342,209,103.0,43.0,60.0
STB,3832,1602,2230,152.0,58.0,94.0
LPB,1036,667,369,16.0,13.0,3.0
ACB,340,541,-201,3.0,7.0,-4.0
AAA,1389,540,849,55.0,44.0,11.0
NVL,106,211,-105,20.0,28.0,-8.0
SSI,822,581,241,39.0,21.0,18.0
KBC,496,546,-50,11.0,19.0,-8.0
HSG,510,611,-101,9.0,20.0,-11.0
SHB,1460,696,764,96.0,36.0,60.0
PVS,928,439,489,27.0,55.0,-28.0
FIT,163,203,-40,0.0,3.0,-3.0
PDR,169,114,55,77.0,37.0,40.0
FLC,398,787,-389,5.0,18.0,-13.0
BSR,804,570,234,22.0,32.0,-10.0
HNG,626,430,196,3.0,5.0,-2.0
VNM,823,394,429,21.0,4.0,17.0
PLX,215,274,-59,12.0,16.0,-4.0
SHS,511,368,143,9.0,12.0,-3.0
GAS,163,161,2,1.0,5.0,-4.0
CTS,190,265,-75,0.0,2.0,-2.0
HCM,441,298,143,16.0,6.0,10.0
DIG,235,297,-62,1.0,1.0,0.0
VHM,466,422,44,35.0,49.0,-14.0
VIC,198,178,20,20.0,8.0,12.0
VND,483,418,65,11.0,17.0,-6.0
TPB,475,416,59,10.0,10.0,0.0
HDB,521,606,-85,1.0,4.0,-3.0
GVR,440,326,114,11.0,8.0,3.0
VCI,141,210,-69,2.0,8.0,-6.0
PVD,533,797,-264,8.0,10.0,-2.0
DBC,155,126,29,16.0,16.0,0.0
KDC,156,20,136,10.0,2.0,8.0
FPT,2062,841,1221,46.0,18.0,28.0
DRC,164,173,-9,1.0,1.0,0.0
POW,301,345,-44,2.0,4.0,-2.0
IJC,495,556,-61,7.0,25.0,-18.0
DXG,319,363,-44,2.0,10.0,-8.0
NKG,369,286,83,10.0,3.0,7.0
IDC,45,151,-106,0.0,3.0,-3.0
AGG,139,163,-24,2.0,33.0,-31.0
