Stock,B,S,G,BB,BS,BG
AAA,733.0,505.0,228.0,1.0,0.0,1.0
AAS,672.0,627.0,45.0,0.0,1.0,-1.0
AAV,235.0,210.0,25.0,0.0,0.0,0.0
ABC,9.0,15.0,-6.0,0.0,0.0,0.0
ABS,86.0,35.0,51.0,0.0,0.0,0.0
ACB,3485.0,2350.0,1135.0,22.0,14.0,8.0
ACC,16.0,14.0,2.0,0.0,0.0,0.0
ACL,28.0,22.0,6.0,0.0,0.0,0.0
ACM,156.0,121.0,35.0,0.0,0.0,0.0
ACV,67.0,101.0,-34.0,0.0,0.0,0.0
AFX,45.0,36.0,9.0,0.0,0.0,0.0
AGG,446.0,295.0,151.0,0.0,2.0,-2.0
AGR,1119.0,742.0,377.0,0.0,0.0,0.0
AMD,566.0,645.0,-79.0,0.0,0.0,0.0
AMV,229.0,171.0,58.0,0.0,1.0,-1.0
ANV,229.0,206.0,23.0,0.0,0.0,0.0
APC,12.0,20.0,-8.0,0.0,0.0,0.0
APG,645.0,421.0,224.0,0.0,0.0,0.0
APH,312.0,168.0,144.0,6.0,7.0,-1.0
API,39.0,35.0,4.0,0.0,0.0,0.0
APS,412.0,411.0,1.0,1.0,0.0,1.0
ART,873.0,636.0,237.0,2.0,6.0,-4.0
ASM,509.0,472.0,37.0,0.0,0.0,0.0
ASP,40.0,58.0,-18.0,0.0,0.0,0.0
AST,88.0,53.0,35.0,0.0,0.0,0.0
BCC,179.0,204.0,-25.0,0.0,0.0,0.0
BCE,38.0,23.0,15.0,0.0,0.0,0.0
BCG,288.0,300.0,-12.0,0.0,0.0,0.0
BCM,12.0,26.0,-14.0,0.0,0.0,0.0
BFC,59.0,72.0,-13.0,0.0,0.0,0.0
BIC,72.0,158.0,-86.0,0.0,0.0,0.0
BID,1487.0,1125.0,362.0,3.0,2.0,1.0
BII,133.0,95.0,38.0,0.0,0.0,0.0
BMC,52.0,40.0,12.0,0.0,0.0,0.0
BMI,153.0,173.0,-20.0,1.0,5.0,-4.0
BMP,52.0,56.0,-4.0,0.0,1.0,-1.0
BSI,403.0,428.0,-25.0,0.0,0.0,0.0
BSR,2688.0,2967.0,-279.0,30.0,40.0,-10.0
BVH,557.0,1671.0,-1114.0,1.0,2.0,-1.0
BVS,354.0,314.0,40.0,0.0,0.0,0.0
BWE,411.0,163.0,248.0,1.0,1.0,0.0
C32,38.0,30.0,8.0,0.0,0.0,0.0
C47,26.0,19.0,7.0,0.0,0.0,0.0
C4G,85.0,104.0,-19.0,0.0,1.0,-1.0
C69,101.0,63.0,38.0,0.0,0.0,0.0
CCL,151.0,120.0,31.0,0.0,0.0,0.0
CDO,42.0,32.0,10.0,0.0,0.0,0.0
CEO,554.0,482.0,72.0,2.0,0.0,2.0
CII,420.0,1123.0,-703.0,1.0,1.0,0.0
CKG,686.0,785.0,-99.0,0.0,0.0,0.0
CMG,27.0,46.0,-19.0,0.0,0.0,0.0
CMX,75.0,50.0,25.0,0.0,0.0,0.0
CNG,34.0,39.0,-5.0,0.0,0.0,0.0
CRC,60.0,69.0,-9.0,0.0,0.0,0.0
CRE,192.0,152.0,40.0,14.0,5.0,9.0
CSM,9.0,17.0,-8.0,0.0,0.0,0.0
CSV,50.0,33.0,17.0,0.0,0.0,0.0
CTD,117.0,118.0,-1.0,0.0,1.0,-1.0
CTG,3640.0,3015.0,625.0,35.0,28.0,7.0
CTI,76.0,69.0,7.0,0.0,0.0,0.0
CTR,116.0,91.0,25.0,3.0,1.0,2.0
CTS,920.0,683.0,237.0,1.0,0.0,1.0
CVN,39.0,33.0,6.0,0.0,0.0,0.0
D2D,70.0,123.0,-53.0,0.0,0.0,0.0
DAG,28.0,64.0,-36.0,0.0,0.0,0.0
DAH,186.0,63.0,123.0,0.0,0.0,0.0
DBC,646.0,478.0,168.0,12.0,3.0,9.0
DCL,62.0,57.0,5.0,0.0,0.0,0.0
DCM,379.0,402.0,-23.0,0.0,0.0,0.0
DDG,76.0,66.0,10.0,0.0,0.0,0.0
DGC,390.0,503.0,-113.0,2.0,2.0,0.0
DGW,314.0,221.0,93.0,0.0,0.0,0.0
DHC,68.0,77.0,-9.0,3.0,1.0,2.0
DHM,57.0,37.0,20.0,1.0,0.0,1.0
DIG,1674.0,1707.0,-33.0,1.0,4.0,-3.0
DLG,637.0,597.0,40.0,0.0,0.0,0.0
DNM,33.0,52.0,-19.0,0.0,0.0,0.0
DPG,136.0,124.0,12.0,0.0,0.0,0.0
DPM,286.0,313.0,-27.0,0.0,2.0,-2.0
DRC,360.0,482.0,-122.0,0.0,1.0,-1.0
DRH,153.0,183.0,-30.0,0.0,0.0,0.0
DRI,384.0,372.0,12.0,0.0,0.0,0.0
DS3,29.0,16.0,13.0,0.0,0.0,0.0
DST,66.0,99.0,-33.0,0.0,0.0,0.0
DTD,83.0,46.0,37.0,0.0,0.0,0.0
DVN,468.0,390.0,78.0,0.0,1.0,-1.0
DXG,9124.0,5673.0,3451.0,58.0,19.0,39.0
DXP,48.0,60.0,-12.0,0.0,0.0,0.0
EIB,242.0,161.0,81.0,1.0,1.0,0.0
ELC,116.0,139.0,-23.0,0.0,0.0,0.0
EVF,136.0,148.0,-12.0,0.0,0.0,0.0
EVG,59.0,89.0,-30.0,0.0,0.0,0.0
FCN,378.0,320.0,58.0,0.0,1.0,-1.0
FID,21.0,30.0,-9.0,0.0,0.0,0.0
FIR,57.0,28.0,29.0,0.0,0.0,0.0
FIT,500.0,553.0,-53.0,0.0,1.0,-1.0
FLC,2491.0,2281.0,210.0,14.0,10.0,4.0
FMC,141.0,108.0,33.0,0.0,0.0,0.0
FPT,2170.0,1458.0,712.0,11.0,4.0,7.0
FRT,226.0,219.0,7.0,0.0,0.0,0.0
FTM,219.0,53.0,166.0,0.0,0.0,0.0
FTS,326.0,224.0,102.0,2.0,1.0,1.0
G36,112.0,107.0,5.0,0.0,0.0,0.0
GAS,306.0,372.0,-66.0,0.0,2.0,-2.0
GEG,95.0,101.0,-6.0,0.0,0.0,0.0
GEX,736.0,687.0,49.0,13.0,3.0,10.0
GIL,95.0,97.0,-2.0,1.0,0.0,1.0
GKM,142.0,45.0,97.0,0.0,0.0,0.0
GMD,613.0,617.0,-4.0,1.0,2.0,-1.0
GTN,145.0,200.0,-55.0,0.0,0.0,0.0
GVR,1325.0,1234.0,91.0,3.0,3.0,0.0
HAG,320.0,371.0,-51.0,2.0,1.0,1.0
HAH,470.0,291.0,179.0,0.0,0.0,0.0
HAI,300.0,259.0,41.0,0.0,0.0,0.0
HAP,265.0,131.0,134.0,0.0,0.0,0.0
HAR,105.0,137.0,-32.0,0.0,0.0,0.0
HAX,218.0,210.0,8.0,0.0,0.0,0.0
HBC,687.0,762.0,-75.0,0.0,0.0,0.0
HCD,57.0,44.0,13.0,0.0,0.0,0.0
HCM,1977.0,1691.0,286.0,8.0,9.0,-1.0
HDA,4.0,0.0,4.0,0.0,0.0,0.0
HDB,1788.0,1224.0,564.0,4.0,5.0,-1.0
HDC,353.0,238.0,115.0,0.0,0.0,0.0
HDG,489.0,595.0,-106.0,4.0,1.0,3.0
HHG,64.0,48.0,16.0,0.0,0.0,0.0
