Stock,B,S,G,BB,BS,BG
CTG,4299,5446,-1147,100.0,132.0,-32.0
MBB,3997,4062,-65,65.0,64.0,1.0
HPG,6597,4127,2470,591.0,368.0,223.0
TCB,3857,2756,1101,260.0,193.0,67.0
VPB,3887,1622,2265,579.0,232.0,347.0
STB,3105,2712,393,189.0,188.0,1.0
LPB,1299,1229,70,24.0,20.0,4.0
ACB,1675,2031,-356,46.0,64.0,-18.0
AAA,1393,1217,176,23.0,29.0,-6.0
NVL,1092,611,481,113.0,106.0,7.0
SSI,2987,2094,893,194.0,160.0,34.0
KBC,2331,2363,-32,120.0,118.0,2.0
HSG,2914,1497,1417,110.0,91.0,19.0
SHB,1848,1209,639,121.0,100.0,21.0
PVS,2350,2188,162,134.0,169.0,-35.0
FIT,1189,559,630,58.0,15.0,43.0
PDR,501,302,199,235.0,96.0,139.0
FLC,2506,3081,-575,42.0,69.0,-27.0
BSR,3170,2347,823,90.0,139.0,-49.0
HNG,889,829,60,3.0,16.0,-13.0
VNM,1711,1187,524,77.0,51.0,26.0
PLX,557,622,-65,24.0,31.0,-7.0
SHS,1790,1189,601,100.0,55.0,45.0
GAS,334,301,33,13.0,19.0,-6.0
CTS,604,776,-172,1.0,2.0,-1.0
HCM,1254,914,340,78.0,62.0,16.0
DIG,777,943,-166,5.0,5.0,0.0
VHM,891,1062,-171,90.0,136.0,-46.0
VIC,819,857,-38,54.0,73.0,-19.0
VND,2668,1295,1373,90.0,60.0,30.0
TPB,1324,1191,133,23.0,34.0,-11.0
HDB,1086,857,229,29.0,32.0,-3.0
GVR,1452,1099,353,36.0,32.0,4.0
VCI,1282,706,576,73.0,34.0,39.0
PVD,870,1012,-142,14.0,18.0,-4.0
DBC,420,516,-96,17.0,49.0,-32.0
KDC,236,115,121,41.0,20.0,21.0
FPT,699,660,39,21.0,23.0,-2.0
DRC,1291,1036,255,25.0,4.0,21.0
POW,818,1029,-211,10.0,9.0,1.0
IJC,950,875,75,17.0,30.0,-13.0
DXG,785,1214,-429,13.0,23.0,-10.0
NKG,1516,661,855,79.0,45.0,34.0
IDC,342,321,21,6.0,12.0,-6.0
AGG,646,279,367,45.0,30.0,15.0
TCH,936,772,164,5.0,2.0,3.0
ORS,685,145,540,7.0,7.0,0.0
VGT,756,515,241,7.0,12.0,-5.0
TNG,347,282,65,8.0,7.0,1.0
BID,1033,1078,-45,30.0,32.0,-2.0
VPI,123,21,102,9.0,0.0,9.0
MBS,1436,1115,321,39.0,10.0,29.0
VJC,220,287,-67,9.0,3.0,6.0
NVB,766,319,447,17.0,7.0,10.0
APS,677,348,329,7.0,5.0,2.0
GMD,1258,759,499,49.0,22.0,27.0
PVT,1199,1235,-36,8.0,12.0,-4.0
CRE,202,67,135,21.0,7.0,14.0
NLG,397,564,-167,4.0,10.0,-6.0
VRE,646,681,-35,4.0,14.0,-10.0
DLG,541,539,2,0.0,0.0,0.0
ROS,1847,2103,-256,3.0,8.0,-5.0
ITA,974,1483,-509,3.0,4.0,-1.0
SCR,1114,796,318,16.0,24.0,-8.0
EVG,84,77,7,0.0,0.0,0.0
SBT,570,668,-98,7.0,8.0,-1.0
GEX,479,400,79,14.0,29.0,-15.0
HQC,915,1034,-119,0.0,0.0,0.0
SZC,290,304,-14,0.0,2.0,-2.0
VCB,678,777,-99,66.0,43.0,23.0
HBC,790,834,-44,2.0,6.0,-4.0
HAG,258,402,-144,0.0,6.0,-6.0
MWG,346,306,40,18.0,24.0,-6.0
KDH,482,509,-27,13.0,9.0,4.0
HDC,257,289,-32,3.0,3.0,0.0
CTR,104,119,-15,9.0,7.0,2.0
OIL,497,638,-141,2.0,6.0,-4.0
MSN,602,588,14,46.0,41.0,5.0
