Stock,B,S,G,BB,BS,BG
VPB,3530,5595,-2065,200.0,258.0,-58.0
HPG,4080,5175,-1095,75.0,89.0,-14.0
TCB,4328,4159,169,83.0,65.0,18.0
MBB,4367,4529,-162,59.0,54.0,5.0
STB,4082,4903,-821,44.0,66.0,-22.0
SHB,3497,1949,1548,164.0,183.0,-19.0
CTG,2631,3165,-534,65.0,75.0,-10.0
KBC,4397,2309,2088,69.0,19.0,50.0
SSI,2868,2836,32,39.0,67.0,-28.0
SHS,2593,1831,762,95.0,55.0,40.0
ACB,4254,3625,629,31.0,22.0,9.0
VHM,1746,1210,536,74.0,44.0,30.0
PDR,936,475,461,114.0,83.0,31.0
LPB,2129,3792,-1663,50.0,86.0,-36.0
HCM,1820,1588,232,27.0,31.0,-4.0
IDC,1032,1683,-651,51.0,26.0,25.0
HSG,2459,2294,165,19.0,27.0,-8.0
VND,2401,1884,517,27.0,22.0,5.0
PVS,1884,1279,605,78.0,112.0,-34.0
VNM,2424,1535,889,33.0,10.0,23.0
BSR,2082,2108,-26,69.0,88.0,-19.0
PLX,913,593,320,47.0,40.0,7.0
VCI,1290,991,299,38.0,26.0,12.0
AAA,3447,1096,2351,82.0,22.0,60.0
GVR,2018,1936,82,10.0,6.0,4.0
DGC,1802,674,1128,50.0,19.0,31.0
DXG,1903,2633,-730,15.0,32.0,-17.0
IJC,1568,1159,409,32.0,35.0,-3.0
SCR,1522,850,672,67.0,35.0,32.0
FLC,1289,1281,8,34.0,52.0,-18.0
KDC,203,114,89,80.0,32.0,48.0
HDB,1303,1090,213,34.0,22.0,12.0
TCH,1306,2109,-803,16.0,10.0,6.0
DRC,1656,1008,648,23.0,10.0,13.0
VRE,1329,862,467,17.0,30.0,-13.0
PVD,991,1308,-317,16.0,24.0,-8.0
VIC,643,517,126,43.0,21.0,22.0
ITA,2579,1504,1075,11.0,4.0,7.0
FPT,640,993,-353,15.0,24.0,-9.0
HNG,3634,1180,2454,15.0,15.0,0.0
BID,949,1044,-95,14.0,11.0,3.0
VCB,570,525,45,28.0,27.0,1.0
NVL,273,282,-9,33.0,47.0,-14.0
DIG,1490,947,543,25.0,13.0,12.0
BVH,877,648,229,23.0,16.0,7.0
VHC,660,662,-2,22.0,15.0,7.0
AGG,728,267,461,14.0,33.0,-19.0
PVT,1224,1349,-125,11.0,8.0,3.0
TPB,758,1198,-440,7.0,13.0,-6.0
HBC,1258,1095,163,11.0,9.0,2.0
MSN,683,462,221,15.0,3.0,12.0
SZC,918,586,332,10.0,8.0,2.0
NVB,641,229,412,22.0,4.0,18.0
FIT,623,710,-87,6.0,10.0,-4.0
GMD,559,661,-102,10.0,10.0,0.0
TNG,586,430,156,16.0,19.0,-3.0
GEX,610,402,208,10.0,8.0,2.0
MBS,879,741,138,12.0,14.0,-2.0
NLG,720,687,33,12.0,5.0,7.0
DCM,717,842,-125,2.0,10.0,-8.0
POW,821,1515,-694,8.0,4.0,4.0
NKG,569,549,20,6.0,11.0,-5.0
SBT,666,771,-105,4.0,10.0,-6.0
TSC,534,762,-228,5.0,21.0,-16.0
PHR,495,355,140,13.0,13.0,0.0
VJC,352,149,203,11.0,8.0,3.0
APH,522,187,335,25.0,4.0,21.0
