Stock,B,S,G,BB,BS,BG
AAA,550.0,918.0,-368.0,0.0,0.0,0.0
AAS,839.0,594.0,245.0,0.0,3.0,-3.0
AAV,211.0,256.0,-45.0,0.0,0.0,0.0
ABC,6.0,15.0,-9.0,0.0,0.0,0.0
ABS,15.0,36.0,-21.0,0.0,0.0,0.0
ACB,1966.0,4088.0,-2122.0,19.0,42.0,-23.0
ACC,11.0,24.0,-13.0,0.0,0.0,0.0
ACL,22.0,48.0,-26.0,0.0,0.0,0.0
ACM,226.0,171.0,55.0,0.0,0.0,0.0
ACV,92.0,1939.0,-1847.0,0.0,2.0,-2.0
AFX,87.0,67.0,20.0,1.0,0.0,1.0
AGG,290.0,397.0,-107.0,7.0,2.0,5.0
AGR,777.0,973.0,-196.0,0.0,0.0,0.0
AMD,332.0,731.0,-399.0,0.0,0.0,0.0
AMV,336.0,289.0,47.0,0.0,0.0,0.0
ANV,149.0,249.0,-100.0,0.0,1.0,-1.0
APC,21.0,15.0,6.0,0.0,0.0,0.0
APG,265.0,837.0,-572.0,0.0,0.0,0.0
APH,188.0,154.0,34.0,2.0,7.0,-5.0
API,45.0,71.0,-26.0,0.0,0.0,0.0
APS,388.0,528.0,-140.0,0.0,1.0,-1.0
ART,603.0,771.0,-168.0,1.0,4.0,-3.0
ASM,214.0,656.0,-442.0,0.0,1.0,-1.0
ASP,190.0,131.0,59.0,0.0,0.0,0.0
AST,72.0,175.0,-103.0,0.0,0.0,0.0
BCC,296.0,341.0,-45.0,1.0,0.0,1.0
BCE,47.0,66.0,-19.0,0.0,0.0,0.0
BCG,188.0,473.0,-285.0,0.0,0.0,0.0
BCM,16.0,15.0,1.0,0.0,0.0,0.0
BFC,63.0,116.0,-53.0,0.0,0.0,0.0
BIC,64.0,88.0,-24.0,0.0,0.0,0.0
BID,991.0,2185.0,-1194.0,2.0,13.0,-11.0
BII,200.0,107.0,93.0,0.0,0.0,0.0
BMC,30.0,42.0,-12.0,0.0,0.0,0.0
BMI,115.0,236.0,-121.0,0.0,1.0,-1.0
BMP,48.0,71.0,-23.0,0.0,0.0,0.0
BSI,380.0,662.0,-282.0,0.0,1.0,-1.0
BSR,2684.0,4250.0,-1566.0,32.0,55.0,-23.0
BVH,478.0,1906.0,-1428.0,0.0,0.0,0.0
BVS,320.0,413.0,-93.0,0.0,1.0,-1.0
BWE,230.0,157.0,73.0,0.0,0.0,0.0
C32,22.0,44.0,-22.0,0.0,0.0,0.0
C47,16.0,24.0,-8.0,0.0,0.0,0.0
C4G,116.0,133.0,-17.0,0.0,0.0,0.0
C69,53.0,54.0,-1.0,0.0,0.0,0.0
CCL,71.0,190.0,-119.0,0.0,0.0,0.0
CDO,53.0,47.0,6.0,0.0,0.0,0.0
CEO,635.0,721.0,-86.0,1.0,6.0,-5.0
CII,299.0,881.0,-582.0,1.0,0.0,1.0
CKG,637.0,1300.0,-663.0,0.0,0.0,0.0
CMG,31.0,62.0,-31.0,0.0,0.0,0.0
CMX,59.0,95.0,-36.0,0.0,0.0,0.0
CNG,24.0,50.0,-26.0,0.0,0.0,0.0
CRC,17.0,39.0,-22.0,0.0,0.0,0.0
CRE,82.0,179.0,-97.0,6.0,0.0,6.0
CSM,5.0,12.0,-7.0,0.0,0.0,0.0
CSV,68.0,73.0,-5.0,0.0,0.0,0.0
CTD,169.0,179.0,-10.0,4.0,2.0,2.0
CTG,1966.0,5341.0,-3375.0,17.0,52.0,-35.0
CTI,102.0,149.0,-47.0,0.0,2.0,-2.0
CTR,170.0,144.0,26.0,0.0,3.0,-3.0
CTS,447.0,813.0,-366.0,0.0,2.0,-2.0
CVN,18.0,34.0,-16.0,0.0,0.0,0.0
D2D,122.0,166.0,-44.0,0.0,0.0,0.0
DAG,43.0,75.0,-32.0,0.0,0.0,0.0
