Stock,B,S,G,BB,BS,BG
AAA,542,375.0,167.0,3.0,0.0,3.0
AAS,225,287.0,-62.0,0.0,0.0,0.0
AAV,116,115.0,1.0,0.0,0.0,0.0
ABC,12,10.0,2.0,0.0,0.0,0.0
ABS,161,56.0,105.0,0.0,0.0,0.0
ACB,2548,3034.0,-486.0,17.0,24.0,-7.0
ACC,15,10.0,5.0,0.0,0.0,0.0
ACL,72,78.0,-6.0,0.0,0.0,0.0
ACV,44,64.0,-20.0,0.0,1.0,-1.0
AFX,24,22.0,2.0,0.0,0.0,0.0
AGG,708,195.0,513.0,3.0,5.0,-2.0
AGR,412,480.0,-68.0,0.0,0.0,0.0
AMD,318,355.0,-37.0,0.0,0.0,0.0
AMV,280,166.0,114.0,0.0,0.0,0.0
ANV,481,340.0,141.0,3.0,2.0,1.0
APC,12,15.0,-3.0,0.0,0.0,0.0
APG,238,257.0,-19.0,0.0,0.0,0.0
APH,489,242.0,247.0,1.0,5.0,-4.0
API,29,36.0,-7.0,0.0,0.0,0.0
APS,274,253.0,21.0,0.0,0.0,0.0
ART,340,265.0,75.0,0.0,25.0,-25.0
ASM,548,453.0,95.0,0.0,0.0,0.0
ASP,23,74.0,-51.0,0.0,0.0,0.0
AST,125,74.0,51.0,0.0,0.0,0.0
BCC,124,139.0,-15.0,0.0,0.0,0.0
BCE,33,35.0,-2.0,0.0,0.0,0.0
BCG,218,182.0,36.0,0.0,0.0,0.0
BCM,1,11.0,-10.0,0.0,0.0,0.0
BFC,169,122.0,47.0,0.0,0.0,0.0
BIC,83,68.0,15.0,0.0,0.0,0.0
BID,952,1434.0,-482.0,1.0,12.0,-11.0
BII,170,131.0,39.0,0.0,2.0,-2.0
BMC,37,38.0,-1.0,0.0,0.0,0.0
BMI,148,152.0,-4.0,0.0,1.0,-1.0
BMP,31,24.0,7.0,0.0,0.0,0.0
BSI,416,326.0,90.0,0.0,2.0,-2.0
BSR,1707,1590.0,117.0,12.0,22.0,-10.0
BVH,267,1821.0,-1554.0,1.0,0.0,1.0
BVS,177,219.0,-42.0,0.0,0.0,0.0
BWE,197,170.0,27.0,1.0,0.0,1.0
C32,24,44.0,-20.0,0.0,0.0,0.0
C47,29,22.0,7.0,0.0,0.0,0.0
C4G,82,69.0,13.0,0.0,0.0,0.0
C69,84,33.0,51.0,0.0,0.0,0.0
CCL,76,126.0,-50.0,0.0,0.0,0.0
CDO,31,36.0,-5.0,0.0,0.0,0.0
CEO,397,308.0,89.0,0.0,4.0,-4.0
CII,323,793.0,-470.0,2.0,3.0,-1.0
CKG,395,570.0,-175.0,0.0,0.0,0.0
CMG,10,34.0,-24.0,0.0,0.0,0.0
CMX,198,181.0,17.0,0.0,0.0,0.0
CNG,50,28.0,22.0,0.0,0.0,0.0
CRC,62,34.0,28.0,0.0,0.0,0.0
CRE,175,106.0,69.0,10.0,1.0,9.0
CSM,9,12.0,-3.0,0.0,0.0,0.0
CSV,44,76.0,-32.0,0.0,0.0,0.0
CTD,87,85.0,2.0,0.0,0.0,0.0
CTG,1693,2328.0,-635.0,26.0,48.0,-22.0
CTI,49,102.0,-53.0,0.0,0.0,0.0
CTR,208,107.0,101.0,2.0,0.0,2.0
CTS,322,423.0,-101.0,0.0,0.0,0.0
CVN,26,9.0,17.0,0.0,0.0,0.0
D2D,86,105.0,-19.0,0.0,0.0,0.0
DAG,40,54.0,-14.0,0.0,0.0,0.0
DAH,136,37.0,99.0,0.0,0.0,0.0
DBC,499,444.0,55.0,5.0,3.0,2.0
DCL,40,45.0,-5.0,0.0,0.0,0.0
DCM,2204,1081.0,1123.0,1.0,3.0,-2.0
DGC,417,411.0,6.0,0.0,0.0,0.0
DGW,319,215.0,104.0,0.0,2.0,-2.0
DHC,37,113.0,-76.0,1.0,4.0,-3.0
DHM,63,22.0,41.0,2.0,0.0,2.0
DIG,1212,1960.0,-748.0,3.0,4.0,-1.0
DLG,512,480.0,32.0,0.0,0.0,0.0
DNM,20,21.0,-1.0,0.0,0.0,0.0
DPG,408,263.0,145.0,1.0,1.0,0.0
DPM,1012,477.0,535.0,3.0,0.0,3.0
DRC,184,368.0,-184.0,0.0,0.0,0.0
DRH,109,161.0,-52.0,0.0,0.0,0.0
DRI,141,224.0,-83.0,0.0,0.0,0.0
DS3,9,7.0,2.0,0.0,0.0,0.0
DST,81,51.0,30.0,0.0,0.0,0.0
DTD,34,46.0,-12.0,0.0,0.0,0.0
DVN,276,256.0,20.0,0.0,0.0,0.0
DXG,3608,4486.0,-878.0,8.0,5.0,3.0
DXP,33,49.0,-16.0,0.0,0.0,0.0
EIB,64,114.0,-50.0,2.0,1.0,1.0
ELC,541,274.0,267.0,0.0,0.0,0.0
EVF,55,93.0,-38.0,0.0,0.0,0.0
EVG,51,53.0,-2.0,0.0,0.0,0.0
FCN,382,339.0,43.0,1.0,0.0,1.0
FIR,76,65.0,11.0,0.0,0.0,0.0
FIT,618,653.0,-35.0,1.0,4.0,-3.0
FLC,1783,1547.0,236.0,5.0,9.0,-4.0
FMC,474,303.0,171.0,0.0,0.0,0.0
FPT,661,975.0,-314.0,2.0,6.0,-4.0
FRT,179,204.0,-25.0,1.0,0.0,1.0
FTM,191,0.0,191.0,0.0,0.0,0.0
FTS,98,113.0,-15.0,0.0,0.0,0.0
G36,127,114.0,13.0,0.0,0.0,0.0
GAS,252,398.0,-146.0,2.0,3.0,-1.0
GEG,92,117.0,-25.0,0.0,0.0,0.0
GEX,1801,5980.0,-4179.0,10.0,6.0,4.0
GIL,100,126.0,-26.0,0.0,3.0,-3.0
GKM,169,41.0,128.0,0.0,1.0,-1.0
GMD,769,669.0,100.0,3.0,3.0,0.0
GTN,218,212.0,6.0,0.0,0.0,0.0
GVR,716,1332.0,-616.0,0.0,2.0,-2.0
HAG,632,425.0,207.0,0.0,0.0,0.0
HAH,895,639.0,256.0,1.0,0.0,1.0
HAI,229,212.0,17.0,0.0,0.0,0.0
HAP,281,126.0,155.0,0.0,0.0,0.0
HAR,70,170.0,-100.0,0.0,0.0,0.0
HAX,146,119.0,27.0,0.0,0.0,0.0
HBC,468,552.0,-84.0,1.0,0.0,1.0
HCD,44,59.0,-15.0,0.0,0.0,0.0
HCM,1096,1125.0,-29.0,7.0,8.0,-1.0
HDB,599,917.0,-318.0,0.0,7.0,-7.0
HDC,480,426.0,54.0,2.0,4.0,-2.0
HDG,324,674.0,-350.0,1.0,2.0,-1.0
HHG,36,26.0,10.0,0.0,0.0,0.0
HHS,304,333.0,-29.0,0.0,0.0,0.0
HID,42,56.0,-14.0,0.0,0.0,0.0
HII,78,41.0,37.0,0.0,0.0,0.0
HND,28,31.0,-3.0,0.0,0.0,0.0
HNG,1024,1510.0,-486.0,0.0,2.0,-2.0
HOM,23,30.0,-7.0,0.0,0.0,0.0
HPG,6002,4751.0,1251.0,132.0,87.0,45.0
HPX,100,85.0,15.0,2.0,4.0,-2.0
HQC,993,922.0,71.0,0.0,0.0,0.0
HSG,2517,1510.0,1007.0,29.0,28.0,1.0
HT1,83,126.0,-43.0,0.0,0.0,0.0
HTI,44,21.0,23.0,0.0,0.0,0.0
HTN,19,56.0,-37.0,0.0,0.0,0.0
HUT,108,552.0,-444.0,2.0,5.0,-3.0
HVH,42,42.0,0.0,2.0,0.0,2.0
HVN,219,237.0,-18.0,0.0,0.0,0.0
ICT,12,32.0,-20.0,0.0,0.0,0.0
IDC,511,533.0,-22.0,3.0,12.0,-9.0
IDI,569,483.0,86.0,0.0,0.0,0.0
IDJ,121,88.0,33.0,0.0,0.0,0.0
IJC,638,760.0,-122.0,3.0,10.0,-7.0
ILB,14,22.0,-8.0,0.0,0.0,0.0
ITA,960,1382.0,-422.0,0.0,1.0,-1.0
JVC,165,98.0,67.0,0.0,0.0,0.0
KBC,613,1006.0,-393.0,2.0,6.0,-4.0
KDC,124,145.0,-21.0,12.0,4.0,8.0
KDH,793,835.0,-42.0,1.0,0.0,1.0
KHP,8,9.0,-1.0,0.0,0.0,0.0
KLB,24,83.0,-59.0,0.0,0.0,0.0
KLF,401,197.0,204.0,2.0,0.0,2.0
KMR,163,157.0,6.0,0.0,0.0,0.0
KOS,23,59.0,-36.0,0.0,0.0,0.0
KSB,195,366.0,-171.0,0.0,0.0,0.0
KSH,87,105.0,-18.0,0.0,0.0,0.0
L14,19,36.0,-17.0,0.0,0.0,0.0
LAS,348,159.0,189.0,0.0,0.0,0.0
LCG,977,566.0,411.0,0.0,1.0,-1.0
LDG,384,465.0,-81.0,0.0,0.0,0.0
LHG,85,95.0,-10.0,0.0,0.0,0.0
LIG,21,30.0,-9.0,0.0,0.0,0.0
LIX,6,12.0,-6.0,0.0,0.0,0.0
LPB,1235,1585.0,-350.0,12.0,19.0,-7.0
LSS,98,92.0,6.0,0.0,0.0,0.0
LTG,149,198.0,-49.0,0.0,0.0,0.0
MBB,2603,3665.0,-1062.0,16.0,27.0,-11.0
MBG,189,106.0,83.0,0.0,0.0,0.0
MBS,483,383.0,100.0,0.0,1.0,-1.0
MFS,10,16.0,-6.0,0.0,0.0,0.0
MHC,114,99.0,15.0,0.0,1.0,-1.0
