Stock,B,S,G,BB,BS,BG
STB,350.0,461,-111.0,17.0,28.0,-11.0
HPG,1348.0,829,519.0,28.0,17.0,11.0
SSI,460.0,385,75.0,2.0,2.0,0.0
VPB,148.0,160,-12.0,3.0,3.0,0.0
TCB,450.0,359,91.0,5.0,2.0,3.0
VHM,446.0,379,67.0,4.0,10.0,-6.0
CTG,514.0,310,204.0,1.0,2.0,-1.0
HSG,378.0,204,174.0,3.0,7.0,-4.0
FPT,297.0,452,-155.0,0.0,2.0,-2.0
NVL,145.0,100,45.0,1.0,1.0,0.0
FLC,121.0,107,14.0,1.0,0.0,1.0
TPB,209.0,171,38.0,14.0,1.0,13.0
MBB,299.0,330,-31.0,3.0,2.0,1.0
HCM,168.0,115,53.0,0.0,2.0,-2.0
PDR,86.0,105,-19.0,12.0,21.0,-9.0
VCB,188.0,149,39.0,4.0,4.0,0.0
VND,426.0,395,31.0,12.0,13.0,-1.0
MSN,144.0,169,-25.0,5.0,5.0,0.0
MWG,99.0,126,-27.0,0.0,8.0,-8.0
PSH,323.0,144,179.0,5.0,1.0,4.0
NLG,166.0,145,21.0,0.0,0.0,0.0
VNM,203.0,203,0.0,2.0,7.0,-5.0
SHB,94.0,140,-46.0,5.0,6.0,-1.0
ACB,197.0,241,-44.0,7.0,2.0,5.0
KDH,155.0,239,-84.0,0.0,3.0,-3.0
FRT,359.0,338,21.0,2.0,5.0,-3.0
KBC,224.0,128,96.0,5.0,5.0,0.0
GMD,122.0,127,-5.0,1.0,0.0,1.0
HDG,187.0,150,37.0,2.0,4.0,-2.0
DIG,690.0,414,276.0,14.0,10.0,4.0
VCI,103.0,108,-5.0,1.0,0.0,1.0
VRE,240.0,181,59.0,0.0,0.0,0.0
IJC,147.0,172,-25.0,0.0,2.0,-2.0
KDC,57.0,14,43.0,26.0,0.0,26.0
NKG,155.0,73,82.0,2.0,1.0,1.0
DGC,283.0,199,84.0,6.0,8.0,-2.0
AAA,168.0,147,21.0,1.0,1.0,0.0
VIC,54.0,159,-105.0,1.0,6.0,-5.0
PVS,190.0,214,-24.0,11.0,10.0,1.0
AGG,169.0,153,16.0,8.0,5.0,3.0
GVR,204.0,179,25.0,1.0,3.0,-2.0
BSR,866.0,717,149.0,21.0,15.0,6.0
POW,214.0,176,38.0,0.0,1.0,-1.0
HDB,258.0,146,112.0,3.0,6.0,-3.0
VCS,85.0,71,14.0,3.0,8.0,-5.0
SHS,106.0,222,-116.0,14.0,12.0,2.0
LPB,133.0,119,14.0,0.0,1.0,-1.0
GEX,106.0,106,0.0,2.0,0.0,2.0
PVD,109.0,129,-20.0,2.0,0.0,2.0
DCM,142.0,138,4.0,1.0,0.0,1.0
DBC,61.0,75,-14.0,0.0,1.0,-1.0
PNJ,53.0,82,-29.0,0.0,0.0,0.0
DXG,112.0,65,47.0,0.0,0.0,0.0
GAS,52.0,52,0.0,1.0,0.0,1.0
NVB,38.0,98,-60.0,0.0,8.0,-8.0
MBS,82.0,95,-13.0,0.0,1.0,-1.0
TCH,55.0,80,-25.0,0.0,0.0,0.0
VJC,46.0,63,-17.0,0.0,0.0,0.0
CRE,51.0,29,22.0,4.0,2.0,2.0
FIT,106.0,45,61.0,2.0,6.0,-4.0
CTR,53.0,85,-32.0,0.0,0.0,0.0
SCR,98.0,113,-15.0,0.0,0.0,0.0
