Stock,B,S,G,BB,BS,BG
VPB,1535,3029,-1494,120.0,408.0,-288.0
TCB,3971,4129,-158,64.0,42.0,22.0
HPG,6064,5249,815,119.0,80.0,39.0
SSI,4617,3117,1500,64.0,41.0,23.0
STB,10044,6523,3521,54.0,39.0,15.0
MBB,3141,6301,-3160,55.0,51.0,4.0
CTG,2139,2930,-791,51.0,55.0,-4.0
SHB,2668,1387,1281,49.0,69.0,-20.0
PDR,4248,1808,2440,146.0,131.0,15.0
LPB,1587,2299,-712,4.0,7.0,-3.0
DXG,4372,4298,74,11.0,9.0,2.0
PVS,2327,1479,848,33.0,40.0,-7.0
VND,2415,1131,1284,31.0,28.0,3.0
HSG,7995,2568,5427,14.0,16.0,-2.0
SHS,2481,1966,515,55.0,25.0,30.0
VHM,3662,1898,1764,107.0,45.0,62.0
BSR,2334,2696,-362,61.0,48.0,13.0
ACB,1645,3320,-1675,10.0,19.0,-9.0
PVD,1259,1067,192,7.0,6.0,1.0
BID,859,1232,-373,6.0,5.0,1.0
PLX,822,792,30,49.0,28.0,21.0
VNM,4129,2062,2067,24.0,15.0,9.0
IJC,1019,871,148,4.0,1.0,3.0
FLC,2311,2770,-459,21.0,13.0,8.0
VCI,3249,1124,2125,21.0,10.0,11.0
HCM,2298,1854,444,29.0,27.0,2.0
HDB,813,992,-179,5.0,7.0,-2.0
VCB,511,598,-87,5.0,9.0,-4.0
TPB,697,898,-201,2.0,8.0,-6.0
VIC,749,806,-57,17.0,16.0,1.0
GEX,361,372,-11,13.0,4.0,9.0
FPT,1042,1211,-169,6.0,2.0,4.0
MSN,2318,900,1418,10.0,5.0,5.0
NVB,742,332,410,7.0,20.0,-13.0
DIG,921,1164,-243,0.0,3.0,-3.0
HQC,992,1763,-771,0.0,1.0,-1.0
NVL,236,424,-188,9.0,12.0,-3.0
SCR,853,819,34,1.0,5.0,-4.0
VHC,597,614,-17,1.0,3.0,-2.0
KDH,840,645,195,0.0,4.0,-4.0
TNG,998,486,512,8.0,5.0,3.0
VRE,1101,1961,-860,4.0,6.0,-2.0
PVT,2184,1495,689,6.0,0.0,6.0
GMD,956,935,21,1.0,5.0,-4.0
KBC,2133,1835,298,37.0,9.0,28.0
TSC,554,731,-177,0.0,1.0,-1.0
GVR,1384,1285,99,2.0,2.0,0.0
HUT,714,780,-66,5.0,2.0,3.0
AGG,766,258,508,0.0,7.0,-7.0
HNG,10600,3010,7590,18.0,8.0,10.0
MWG,399,434,-35,3.0,2.0,1.0
VCS,114,138,-24,1.0,3.0,-2.0
FIT,1041,921,120,8.0,4.0,4.0
NKG,533,560,-27,9.0,9.0,0.0
IDC,1009,735,274,19.0,12.0,7.0
DBC,380,624,-244,2.0,11.0,-9.0
VJC,288,238,50,0.0,0.0,0.0
HBC,887,939,-52,0.0,1.0,-1.0
VIB,438,637,-199,0.0,2.0,-2.0
NLG,525,841,-316,4.0,6.0,-2.0
TCH,1711,859,852,7.0,1.0,6.0
DGC,623,571,52,0.0,4.0,-4.0
DCM,711,640,71,0.0,0.0,0.0
POW,1550,1396,154,0.0,2.0,-2.0
ROS,1839,2063,-224,0.0,3.0,-3.0
BVH,1470,957,513,8.0,2.0,6.0
SBT,393,482,-89,1.0,0.0,1.0
KDC,271,104,167,34.0,10.0,24.0
CRE,179,119,60,8.0,4.0,4.0
AAA,573,566,7,0.0,2.0,-2.0
SHI,200,199,1,1.0,5.0,-4.0
HAH,595,685,-90,1.0,0.0,1.0
APH,3539,820,2719,4.0,1.0,3.0
SBS,1102,752,350,1.0,2.0,-1.0
ITA,1482,1347,135,0.0,0.0,0.0
VGT,379,260,119,1.0,1.0,0.0
MBS,1302,948,354,6.0,3.0,3.0
SAB,106,82,24,1.0,0.0,1.0
CII,368,570,-202,0.0,1.0,-1.0
HDG,233,327,-94,1.0,0.0,1.0
HDC,451,326,125,1.0,0.0,1.0
TTF,355,522,-167,0.0,0.0,0.0
VGI,385,263,122,1.0,4.0,-3.0
DRC,291,349,-58,0.0,1.0,-1.0
LCG,619,416,203,0.0,1.0,-1.0
DPM,448,514,-66,0.0,0.0,0.0
VPI,155,63,92,1.0,0.0,1.0
REE,356,261,95,2.0,0.0,2.0
S99,390,262,128,0.0,2.0,-2.0
HVN,461,506,-45,0.0,0.0,0.0
VTP,143,166,-23,0.0,0.0,0.0
PET,758,589,169,1.0,0.0,1.0
FCN,401,440,-39,0.0,0.0,0.0
TVC,212,159,53,0.0,1.0,-1.0
CTS,786,771,15,0.0,0.0,0.0
PAN,371,174,197,0.0,0.0,0.0
DGW,209,254,-45,2.0,0.0,2.0
PHR,182,253,-71,0.0,0.0,0.0
GAS,550,361,189,9.0,7.0,2.0
ORS,387,178,209,0.0,0.0,0.0
FRT,568,524,44,0.0,1.0,-1.0
ANV,268,194,74,0.0,0.0,0.0
CKG,704,475,229,0.0,0.0,0.0
HPX,39,55,-16,0.0,1.0,-1.0
BSI,468,403,65,4.0,0.0,4.0
OIL,398,454,-56,1.0,2.0,-1.0
NTC,42,58,-16,0.0,1.0,-1.0
GIL,128,145,-17,0.0,1.0,-1.0
BVS,440,399,41,2.0,0.0,2.0
PNJ,128,148,-20,4.0,0.0,4.0
CTD,206,143,63,6.0,0.0,6.0
IDI,278,392,-114,0.0,0.0,0.0
EIB,74,141,-67,0.0,3.0,-3.0
BII,418,167,251,1.0,0.0,1.0
SZC,550,460,90,1.0,0.0,1.0
CTR,297,135,162,0.0,3.0,-3.0
LDG,959,837,122,0.0,0.0,0.0
ART,856,518,338,0.0,2.0,-2.0
DLG,382,692,-310,0.0,0.0,0.0
KSB,305,360,-55,1.0,0.0,1.0
DCL,84,129,-45,3.0,0.0,3.0
FTS,278,293,-15,1.0,2.0,-1.0
AGR,1205,846,359,1.0,0.0,1.0
ASM,315,364,-49,0.0,0.0,0.0
KLF,179,475,-296,1.0,1.0,0.0
APS,599,415,184,1.0,0.0,1.0
FMC,155,172,-17,0.0,0.0,0.0
VDS,401,266,135,0.0,0.0,0.0
BCG,269,308,-39,0.0,0.0,0.0
TCM,125,62,63,0.0,0.0,0.0
BCC,196,144,52,0.0,0.0,0.0
CEO,318,395,-77,1.0,4.0,-3.0
MPC,87,90,-3,0.0,0.0,0.0
NTL,304,264,40,0.0,0.0,0.0
NAF,122,66,56,1.0,0.0,1.0
DVN,182,172,10,0.0,0.0,0.0
NHH,29,82,-53,0.0,1.0,-1.0
TV2,79,86,-7,0.0,0.0,0.0
PHC,101,80,21,0.0,0.0,0.0
AAS,1521,874,647,2.0,1.0,1.0
TLH,255,292,-37,0.0,0.0,0.0
DPG,152,119,33,1.0,1.0,0.0
HAG,1014,587,427,0.0,0.0,0.0
