Stock,B,S,G,BB,BS,BG
HPG,3872,5336,-1464,78.0,74.0,4.0
MBB,3038,3369,-331,33.0,53.0,-20.0
VPB,1179,1174,5,117.0,96.0,21.0
HSG,2140,2249,-109,31.0,50.0,-19.0
FLC,2608,4265,-1657,37.0,161.0,-124.0
CTG,1804,3004,-1200,24.0,39.0,-15.0
VHM,711,1035,-324,24.0,50.0,-26.0
TCB,3753,3602,151,41.0,42.0,-1.0
PDR,381,299,82,51.0,67.0,-16.0
STB,3013,3967,-954,157.0,117.0,40.0
KBC,1992,2646,-654,17.0,25.0,-8.0
FIT,638,563,75,19.0,22.0,-3.0
SHB,2736,1210,1526,71.0,149.0,-78.0
VGT,972,937,35,11.0,11.0,0.0
TCH,839,1440,-601,6.0,11.0,-5.0
AAA,2011,1238,773,84.0,61.0,23.0
SSI,2050,3467,-1417,13.0,28.0,-15.0
PVS,1428,1165,263,31.0,33.0,-2.0
BSR,1974,1204,770,61.0,68.0,-7.0
VCB,604,866,-262,10.0,24.0,-14.0
IJC,1742,1328,414,5.0,6.0,-1.0
ACB,1163,1518,-355,5.0,4.0,1.0
GVR,1503,1456,47,4.0,5.0,-1.0
DIG,1108,1235,-127,15.0,8.0,7.0
SHS,1370,895,475,30.0,62.0,-32.0
VNM,1080,1615,-535,45.0,99.0,-54.0
NVL,984,918,66,159.0,171.0,-12.0
DXG,945,1696,-751,5.0,9.0,-4.0
VIC,489,570,-81,30.0,54.0,-24.0
LPB,1112,1305,-193,55.0,28.0,27.0
GEX,723,909,-186,12.0,19.0,-7.0
HNG,5121,3474,1647,81.0,50.0,31.0
NLG,791,812,-21,14.0,14.0,0.0
HCM,916,1146,-230,19.0,16.0,3.0
ROS,1500,2343,-843,4.0,12.0,-8.0
VND,1197,1334,-137,20.0,64.0,-44.0
IDC,859,625,234,13.0,32.0,-19.0
PVD,959,1050,-91,25.0,20.0,5.0
SBT,1082,1056,26,16.0,3.0,13.0
MSN,692,716,-24,36.0,43.0,-7.0
AGG,292,202,90,4.0,25.0,-21.0
NKG,608,733,-125,8.0,13.0,-5.0
BID,1012,1399,-387,9.0,32.0,-23.0
FPT,1925,1440,485,45.0,31.0,14.0
VRE,824,1293,-469,11.0,12.0,-1.0
NVB,633,332,301,34.0,18.0,16.0
HDB,614,789,-175,9.0,10.0,-1.0
PLX,1773,1153,620,100.0,63.0,37.0
ITA,1182,1782,-600,3.0,2.0,1.0
DCM,846,808,38,6.0,1.0,5.0
DPM,645,639,6,7.0,8.0,-1.0
POW,2371,1628,743,32.0,24.0,8.0
VCI,1408,1768,-360,74.0,97.0,-23.0
PVT,893,846,47,7.0,6.0,1.0
KDH,638,518,120,5.0,12.0,-7.0
TNG,392,445,-53,5.0,17.0,-12.0
TPB,798,830,-32,15.0,28.0,-13.0
HBC,771,1224,-453,4.0,5.0,-1.0
GMD,624,648,-24,6.0,18.0,-12.0
SCR,883,780,103,7.0,22.0,-15.0
PET,772,551,221,7.0,0.0,7.0
TSC,651,664,-13,0.0,12.0,-12.0
DRC,600,714,-114,14.0,10.0,4.0
DBC,909,567,342,40.0,35.0,5.0
VHC,484,704,-220,2.0,4.0,-2.0
BVH,540,641,-101,10.0,14.0,-4.0
HHS,797,683,114,1.0,0.0,1.0
KDC,187,96,91,62.0,22.0,40.0
PAN,614,459,155,8.0,6.0,2.0
CII,641,568,73,7.0,5.0,2.0
CEO,594,333,261,4.0,9.0,-5.0
SZC,303,515,-212,0.0,4.0,-4.0
TLH,809,637,172,1.0,0.0,1.0
REE,295,364,-69,0.0,4.0,-4.0
GAS,323,492,-169,11.0,20.0,-9.0
FRT,356,459,-103,1.0,0.0,1.0
LDG,904,985,-81,1.0,0.0,1.0
NTL,638,463,175,8.0,2.0,6.0
HQC,1211,1269,-58,3.0,3.0,0.0
CRE,118,90,28,12.0,7.0,5.0
PHR,251,401,-150,3.0,11.0,-8.0
KSB,854,740,114,8.0,11.0,-3.0
HAH,429,480,-51,2.0,4.0,-2.0
MBS,506,422,84,0.0,11.0,-11.0
TVN,295,260,35,2.0,6.0,-4.0
DLG,1568,1000,568,12.0,6.0,6.0
TCM,223,148,75,4.0,12.0,-8.0
MWG,677,364,313,66.0,17.0,49.0
HDC,447,300,147,10.0,6.0,4.0
VGI,263,214,49,0.0,3.0,-3.0
APG,271,274,-3,4.0,3.0,1.0
CTR,240,304,-64,21.0,27.0,-6.0
SHI,145,74,71,6.0,1.0,5.0
LAS,670,354,316,5.0,4.0,1.0
SJS,103,114,-11,1.0,1.0,0.0
BMI,126,220,-94,2.0,6.0,-4.0
ASM,850,639,211,3.0,1.0,2.0
VJC,188,235,-47,6.0,19.0,-13.0
SMC,322,328,-6,0.0,1.0,-1.0
HDG,243,350,-107,2.0,3.0,-1.0
DGC,373,516,-143,8.0,7.0,1.0
HAG,1008,648,360,4.0,12.0,-8.0
ART,339,309,30,4.0,10.0,-6.0
VTP,294,191,103,1.0,5.0,-4.0
ANV,192,315,-123,0.0,1.0,-1.0
BSI,361,342,19,2.0,5.0,-3.0
FCN,502,584,-82,1.0,2.0,-1.0
D2D,96,166,-70,2.0,0.0,2.0
HUT,478,540,-62,8.0,7.0,1.0
TTF,859,932,-73,2.0,0.0,2.0
VDS,261,364,-103,0.0,1.0,-1.0
LTG,350,366,-16,2.0,7.0,-5.0
C4G,250,291,-41,0.0,1.0,-1.0
LCG,418,560,-142,2.0,1.0,1.0
KLF,210,334,-124,0.0,6.0,-6.0
G36,269,314,-45,0.0,2.0,-2.0
DRI,235,258,-23,0.0,1.0,-1.0
CKG,441,530,-89,1.0,0.0,1.0
OIL,822,904,-82,10.0,6.0,4.0
AAS,386,287,99,0.0,2.0,-2.0
PNJ,234,112,122,2.0,6.0,-4.0
SBS,414,417,-3,1.0,6.0,-5.0
HVN,650,447,203,0.0,1.0,-1.0
APH,156,177,-21,5.0,8.0,-3.0
HPX,37,40,-3,9.0,4.0,5.0
SAB,94,103,-9,1.0,2.0,-1.0
LHG,115,149,-34,0.0,0.0,0.0
PC1,328,279,49,0.0,0.0,0.0
TVC,149,205,-56,2.0,4.0,-2.0
AGR,288,484,-196,0.0,2.0,-2.0
DHC,119,50,69,4.0,0.0,4.0
FTS,170,204,-34,4.0,1.0,3.0
DCL,127,265,-138,5.0,16.0,-11.0
CTS,371,472,-101,0.0,1.0,-1.0
DST,264,241,23,0.0,0.0,0.0
BCG,971,511,460,0.0,1.0,-1.0
S99,621,417,204,6.0,1.0,5.0
VIB,324,301,23,12.0,10.0,2.0
DVN,151,185,-34,0.0,0.0,0.0
TVB,195,131,64,1.0,3.0,-2.0
DGW,136,224,-88,0.0,3.0,-3.0
PHC,86,69,17,0.0,0.0,0.0
PVC,256,222,34,3.0,4.0,-1.0
AMD,432,500,-68,0.0,0.0,0.0
NDN,168,115,53,0.0,3.0,-3.0
BWE,101,161,-60,2.0,0.0,2.0
QTP,229,152,77,3.0,7.0,-4.0
MSR,626,443,183,12.0,3.0,9.0
HAI,349,351,-2,0.0,0.0,0.0
APS,316,202,114,0.0,7.0,-7.0
QNS,382,301,81,1.0,6.0,-5.0
TIG,133,188,-55,1.0,2.0,-1.0
ORS,94,78,16,2.0,1.0,1.0
TDH,544,278,266,0.0,0.0,0.0
BVS,176,236,-60,1.0,2.0,-1.0
VPI,62,68,-6,5.0,0.0,5.0
LSS,414,430,-16,0.0,0.0,0.0
FMC,194,227,-33,0.0,2.0,-2.0
ELC,102,151,-49,0.0,0.0,0.0
MHC,151,130,21,0.0,0.0,0.0
PVP,185,143,42,0.0,1.0,-1.0
VGS,115,97,18,0.0,0.0,0.0
GTN,185,166,19,0.0,0.0,0.0
VCG,174,68,106,0.0,0.0,0.0
DPG,88,138,-50,1.0,0.0,1.0
IDI,329,294,35,0.0,0.0,0.0
HT1,382,261,121,1.0,1.0,0.0
NTC,42,58,-16,0.0,9.0,-9.0
CTD,223,161,62,5.0,2.0,3.0
EVG,35,91,-56,0.0,1.0,-1.0
HAP,333,97,236,0.0,1.0,-1.0
GIL,165,183,-18,3.0,0.0,3.0
VCS,99,138,-39,4.0,9.0,-5.0
PTB,122,46,76,1.0,0.0,1.0
VPG,106,139,-33,3.0,2.0,1.0
PLC,391,250,141,7.0,1.0,6.0
NHH,48,50,-2,1.0,2.0,-1.0
TDC,125,239,-114,1.0,0.0,1.0
NT2,249,222,27,5.0,1.0,4.0
TCL,105,144,-39,0.0,1.0,-1.0
GKM,293,58,235,0.0,1.0,-1.0
CCL,178,177,1,0.0,0.0,0.0
VOC,118,104,14,0.0,1.0,-1.0
DRH,364,231,133,0.0,0.0,0.0
GEG,248,198,50,0.0,0.0,0.0
CTI,206,228,-22,1.0,1.0,0.0
PSH,182,126,56,4.0,0.0,4.0
MPC,55,72,-17,0.0,0.0,0.0
TDM,139,161,-22,0.0,1.0,-1.0
TAR,103,133,-30,1.0,0.0,1.0
BCC,322,264,58,0.0,5.0,-5.0
HAX,145,243,-98,0.0,1.0,-1.0
BII,256,140,116,0.0,1.0,-1.0
VEA,39,46,-7,0.0,0.0,0.0
AMV,213,204,9,1.0,3.0,-2.0
BFC,104,119,-15,0.0,2.0,-2.0
EIB,129,109,20,1.0,1.0,0.0
NAF,328,103,225,0.0,0.0,0.0
FIR,70,82,-12,0.0,0.0,0.0
PAS,80,34,46,0.0,0.0,0.0
MBG,321,174,147,0.0,1.0,-1.0
NRC,48,49,-1,0.0,0.0,0.0
MST,95,115,-20,0.0,0.0,0.0
BMP,58,76,-18,2.0,0.0,2.0
SGP,76,95,-19,0.0,0.0,0.0
IDJ,117,148,-31,0.0,0.0,0.0
KSH,112,117,-5,0.0,0.0,0.0
HII,56,98,-42,0.0,0.0,0.0
MSH,126,60,66,0.0,0.0,0.0
KOS,104,40,64,0.0,0.0,0.0
VHG,130,168,-38,0.0,0.0,0.0
VIG,106,161,-55,0.0,1.0,-1.0
AAV,157,87,70,0.0,0.0,0.0
SJF,150,209,-59,0.0,0.0,0.0
HVH,173,141,32,0.0,0.0,0.0
EVF,60,78,-18,0.0,0.0,0.0
TV2,265,97,168,1.0,0.0,1.0
KLB,43,35,8,0.0,0.0,0.0
PVB,74,101,-27,0.0,0.0,0.0
ACV,114,124,-10,0.0,2.0,-2.0
PVI,70,16,54,0.0,1.0,-1.0
SIP,9,20,-11,0.0,0.0,0.0
PVM,14,14,0,0.0,0.0,0.0
KMR,44,149,-105,0.0,0.0,0.0
